Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 2.7s, sensitivity=20mV
3.6824	6.0	4.00278e-11	-1.04905e-05	1.90736e-05	2.19346e-05	118.176
6.9928	6.01	4.0094512999999995e-11	0.0	-1.14442e-05	1.04905e-05	-86.634
10.3038	6.02	4.0161226e-11	-2.86104e-06	-3.62399e-05	3.62399e-05	-92.046
13.6143	6.03	4.0227939e-11	-9.53682e-07	-1.14442e-05	1.04905e-05	-100.008
16.9242	6.04	4.0294652e-11	-9.5368e-06	-3.62399e-05	3.52862e-05	-108.78
20.2343	6.05	4.0361364999999996e-11	-9.5368e-06	-1.90736e-06	7.62945e-06	-165.966
23.5456	6.06	4.0428078e-11	-3.05178e-05	-1.62126e-05	3.14715e-05	-153.438
26.8239	6.07	4.0494791e-11	-1.43052e-05	-2.3842e-05	2.6703e-05	-119.58
30.1013	6.08	4.0561503999999996e-11	9.5368e-06	-3.62399e-05	3.71935e-05	-67.458
33.3803	6.09	4.0628217e-11	6.67575e-06	-3.81473e-06	8.58313e-06	-32.472
36.6429	6.1	4.0694929999999993e-11	2.0981e-05	1.52589e-05	2.6703e-05	30.258
39.9209	6.11	4.0761643e-11	-2.47956e-05	4.7684e-06	2.57493e-05	168.96
43.1829	6.12	4.0828356e-11	-3.33788e-05	-1.33515e-05	3.52862e-05	-161.898
46.4626	6.13	4.0895069e-11	-9.5368e-06	-1.90736e-05	2.00273e-05	-113.964
49.7565	6.14	4.0961781999999995e-11	-1.43052e-05	-6.67575e-06	1.33515e-05	-148.572
53.0505	6.15	4.1028495e-11	-1.52589e-05	-1.81199e-05	2.3842e-05	-132.798
56.3292	6.16	4.1095208e-11	-1.33515e-05	-4.57766e-05	4.57766e-05	-102.804
59.6083	6.17	4.1161921e-11	-2.6703e-05	2.86104e-06	2.3842e-05	173.832
62.887	6.18	4.1228633999999996e-11	0.0	-2.86104e-06	0.0	180.0
66.1804	6.19	4.1295347e-11	-3.71935e-05	9.53682e-07	3.62399e-05	180.0
69.4758	6.2	4.136206e-11	-2.47956e-05	1.90736e-06	2.19346e-05	174.474
72.7535	6.21	4.1428772999999995e-11	-3.33788e-05	-1.71663e-05	3.62399e-05	-152.97
76.0311	6.22	4.1495486e-11	-9.5368e-06	-4.7684e-06	8.58313e-06	-158.964
79.31	6.23	4.1562199e-11	-2.0981e-05	-4.57766e-05	5.0545e-05	-114.192
82.6048	6.24	4.1628912e-11	-5.6267e-05	-5.6267e-05	7.91554e-05	-135.672
85.8991	6.25	4.1695625e-11	-2.57493e-05	3.81473e-06	2.3842e-05	167.664
89.1781	6.26	4.1762338e-11	-4.57766e-05	-1.14442e-05	4.67303e-05	-166.158
92.4555	6.27	4.1829050999999994e-11	-2.6703e-05	-3.43325e-05	4.00546e-05	-126.306
