Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 12dB, waiting time= 2.1s, sensitivity=20mV
3.3465	6.0	4.00278e-11	3.05178e-05	-2.86104e-06	3.05178e-05	-3.816
6.2722	7.0	4.6699099999999995e-11	-2.3842e-05	-1.33515e-05	2.3842e-05	-148.734
8.9598	8.0	5.33704e-11	-4.7684e-06	-2.76567e-05	2.47956e-05	-97.698
11.6465	9.0	6.004169999999999e-11	-2.76567e-05	9.5368e-06	2.9564e-05	159.906
14.3325	10.0	6.6713e-11	-5.3406e-05	2.86104e-06	5.0545e-05	176.904
17.2279	11.0	7.33843e-11	0.00691894	0.00539878	0.00878054	37.992
20.1381	12.0	8.00556e-11	-0.00012684	-0.000133515	0.000187875	-134.148
22.8254	13.0	8.67269e-11	0.000195504	0.000148774	0.000245096	37.086
25.5111	14.0	9.339819999999999e-11	0.000267031	0.000143052	0.000299456	27.708
28.7257	15.0	1.0006949999999999e-10	-0.000105858	-0.000105858	0.000150681	-136.068
