X 	 Y 	 R 	 theta 
#Without Preamplifier,Finding peak value ,ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 1s, sensitivity=20mV, position 11.0085mm
-5.12975e-06	-5.46111e-05	5.46093e-05	-94.53
4.63802e-06	-3.95069e-05	3.98683e-05	-84.228
-1.20532e-05	-3.60275e-05	3.79162e-05	-107.814
-1.24258e-05	-3.48876e-05	3.69085e-05	-109.236
-9.69513e-06	-4.61529e-05	4.73785e-05	-101.514
-1.25617e-05	-5.46111e-05	5.46093e-05	-104.274
-2.21526e-05	-5.46111e-05	5.46093e-05	-111.378
-2.48925e-05	-5.46111e-05	5.46093e-05	-113.718
-7.47669e-06	-4.93492e-05	4.96304e-05	-97.902
9.94845e-06	-5.46111e-05	5.46093e-05	-80.508
1.17664e-05	-4.29398e-05	4.40835e-05	-75.402
-2.28362e-06	-4.49067e-05	4.51992e-05	-94.32
-8.67067e-06	-4.82949e-05	4.87531e-05	-99.936
-8.22922e-06	-2.81652e-05	2.95901e-05	-106.05
-9.38777e-07	-4.62348e-05	4.63875e-05	-92.766
-1.32565e-05	-4.07549e-05	4.29417e-05	-109.956
-1.31503e-06	-4.29007e-05	4.28224e-05	-91.764
-1.7386e-05	-5.46111e-05	5.46093e-05	-104.61
-8.52725e-06	-5.02302e-05	5.11485e-05	-100.818
-1.57059e-05	-5.46111e-05	5.46093e-05	-101.556
-9.24623e-06	-4.20141e-05	4.2761e-05	-102.132
-1.9502e-06	-3.07525e-05	3.07674e-05	-95.046
-2.2648e-05	-4.74232e-05	5.24169e-05	-115.65
-2.57884e-05	-5.46111e-05	5.46093e-05	-114.168
-1.6112e-06	-5.46111e-05	5.46093e-05	-90.846
-3.81099e-06	-4.47093e-05	4.45808e-05	-94.938
-4.17608e-06	-3.08848e-05	3.16745e-05	-98.688
-1.66745e-05	-5.39238e-05	5.46093e-05	-106.008
-2.04389e-05	-4.90213e-05	5.29962e-05	-111.9
-1.66652e-05	-3.20023e-05	3.54669e-05	-117.102
3.19445e-06	-4.33607e-05	4.33347e-05	-82.872
-2.83496e-06	-3.11399e-05	3.1844e-05	-98.55
-1.58866e-05	-3.63125e-05	3.93989e-05	-112.242
-1.98131e-05	-4.53817e-05	4.99489e-05	-113.196
-5.78727e-06	-5.28733e-05	5.26889e-05	-96.666
-1.25096e-05	-5.46111e-05	5.46093e-05	-102.768
-7.10788e-06	-4.08201e-05	4.11889e-05	-101.154
1.43425e-07	-4.3534e-05	4.36681e-05	-87.276
5.06084e-06	-4.91573e-05	4.9243e-05	-85.068
-1.06842e-05	-4.87643e-05	5.02712e-05	-101.838
-6.34234e-06	-4.22376e-05	4.25449e-05	-97.65
-8.01316e-06	-3.93747e-05	4.02762e-05	-102.456
-2.35458e-05	-3.20936e-05	3.95572e-05	-124.332
-1.04644e-05	-5.46111e-05	5.46093e-05	-100.344
-3.3863e-06	-4.90381e-05	4.88146e-05	-92.622
-5.56002e-06	-3.41854e-05	3.44145e-05	-99.864
2.49596e-07	-4.48993e-05	4.56164e-05	-88.998
-1.63168e-06	-5.46111e-05	5.46093e-05	-90.378
2.54253e-06	-5.46111e-05	5.46093e-05	-87.696
-1.63355e-06	-5.12919e-05	5.16328e-05	-92.64
-9.53866e-06	-4.24201e-05	4.39214e-05	-104.988
-2.42201e-05	-5.29794e-05	5.46093e-05	-113.304
-2.50657e-05	-4.19768e-05	4.87717e-05	-121.206
-1.22805e-05	-3.86669e-05	4.04066e-05	-107.046
-1.39513e-06	-4.87345e-05	4.87699e-05	-91.122
-4.7535e-06	-3.73481e-05	3.78138e-05	-98.976
-2.09139e-05	-3.61914e-05	4.22394e-05	-119.46
