Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence 1 filter = NE15A-B, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 2.7s, sensitivity=20mV
3.2615	11.0	7.33843e-11	0.0	0.0	0.0	0.0
6.5886	11.0	7.33843e-11	0.0	0.0	0.0	0.0
9.8673	11.0	7.33843e-11	0.0	0.0	0.0	90.0
13.4187	11.0005	7.338763565e-11	-9.53682e-07	0.0	0.0	0.0
16.6807	11.001	7.339097129999999e-11	-9.53682e-07	0.0	0.0	180.0
20.2321	11.0005	7.338763565e-11	-0.00131799	3.71935e-05	0.00144387	178.38
23.5431	11.0005	7.338763565e-11	-2.00273e-05	2.86103e-05	3.14715e-05	136.908
27.0953	11.0005	7.338763565e-11	4.7684e-06	8.58313e-06	1.04905e-05	52.434
30.6452	11.001	7.339097129999999e-11	9.53682e-07	-2.86104e-06	1.90736e-06	-78.69
33.9416	11.001	7.339097129999999e-11	-2.9564e-05	1.52589e-05	3.24252e-05	149.826
37.2357	11.001	7.339097129999999e-11	-1.04905e-05	2.19346e-05	2.3842e-05	114.444
40.5318	11.001	7.339097129999999e-11	7.62945e-06	9.5368e-06	1.23978e-05	53.748
43.8264	11.001	7.339097129999999e-11	1.33515e-05	-9.5368e-06	1.52589e-05	-34.38
47.3783	11.0015	7.339430695e-11	-1.71663e-05	-4.7684e-06	1.71663e-05	-166.506
50.6566	11.0015	7.339430695e-11	1.71663e-05	5.72208e-06	1.71663e-05	19.8
53.9355	11.0015	7.339430695e-11	5.72208e-06	-2.86104e-06	5.72208e-06	-29.052
57.2154	11.0015	7.339430695e-11	0.0	8.58313e-06	7.62945e-06	74.748
60.5093	11.0015	7.339430695e-11	-4.7684e-06	-6.67575e-06	6.67575e-06	-119.052
63.8218	11.002	7.33976426e-11	-4.7684e-06	3.81473e-06	6.67575e-06	155.556
67.1157	11.002	7.33976426e-11	-2.86104e-06	1.23978e-05	1.23978e-05	98.97
70.3951	11.002	7.33976426e-11	0.0	-6.67575e-06	5.72208e-06	-95.712
