Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#With Preamplifier, Amplification 1,High pass 100Hz, low pass 300Hz Chopper 230Hz, time constant=0.03, sensitivity=10mV
4.0	2.66852e-11	-3.24252e-05	3.81473e-06	3.81472e-05	-168.69
4.005	2.6718556499999996e-11	-9.39374e-05	-3.33787e-06	8.67848e-05	-163.272
4.01	2.6751912999999997e-11	-8.20165e-05	1.43052e-05	7.53407e-05	142.368
4.015	2.6785269499999995e-11	-7.05724e-05	-1.66894e-05	5.9128e-05	-153.63
4.02	2.6818625999999996e-11	-4.43461e-05	5.48365e-05	6.91419e-05	154.176
4.025	2.68519825e-11	-4.67303e-05	-3.81473e-06	4.81608e-05	153.234
4.03	2.6885339e-11	-9.91826e-05	1.28747e-05	8.53543e-05	-167.412
4.035	2.69186955e-11	-9.05995e-05	2.24115e-05	0.000105381	170.976
4.04	2.6952052e-11	-6.5804e-05	3.38557e-05	6.48503e-05	160.908
4.045	2.6985408499999998e-11	-3.5763e-05	-2.86103e-05	5.14986e-05	-162.18
4.05	2.7018765e-11	-9.10764e-05	3.95777e-05	0.00010109	155.484
4.055	2.7052121499999996e-11	-5.76975e-05	-1.90736e-05	7.00955e-05	-173.508
4.06	2.7085477999999997e-11	-0.000111104	-6.67575e-06	0.000116826	-175.416
4.065	2.7118834500000002e-11	-4.05314e-05	-1.43052e-06	7.82018e-05	153.006
4.07	2.7152191e-11	-8.20165e-05	-3.33787e-06	9.48911e-05	-170.058
4.075	2.71855475e-11	-1.62126e-05	-2.86103e-05	3.2902e-05	-156.798
4.08	2.7218903999999998e-11	-9.15532e-05	-3.33787e-06	9.29837e-05	-167.13
4.085	2.72522605e-11	-5.48365e-05	1.43052e-06	2.9564e-05	-162.072
4.09	2.7285616999999997e-11	-9.44142e-05	5.6267e-05	0.000104905	167.514
4.095	2.7318973499999998e-11	-4.00546e-05	-9.05996e-06	4.81608e-05	164.358
4.1	2.7352329999999996e-11	-7.43871e-05	4.7684e-06	5.38828e-05	165.108
4.105	2.7385686500000003e-11	-8.82153e-05	-6.67575e-06	5.86512e-05	-179.628
4.11	2.7419043e-11	-8.10628e-05	-2.47956e-05	7.82018e-05	-164.616
4.115	2.74523995e-11	-8.86922e-05	1.76431e-05	6.2943e-05	-178.56
4.12	2.7485756e-11	-8.72617e-05	4.29156e-06	7.91554e-05	179.532
4.125	2.7519112499999997e-11	-0.000102997	1.62126e-05	0.000103951	170.568
4.13	2.7552468999999998e-11	-7.20029e-05	3.09946e-05	8.15396e-05	165.468
4.135	2.7585825499999996e-11	-6.62808e-05	-8.10629e-06	0.000102997	172.848
4.14	2.7619181999999997e-11	-6.10356e-05	-4.29156e-06	5.53133e-05	-171.918
4.145	2.7652538499999995e-11	-8.10628e-05	-1.23978e-05	5.6267e-05	176.28
4.15	2.7685895000000002e-11	-4.57766e-05	1.66894e-05	3.2902e-05	-164.232
4.155	2.77192515e-11	-6.34198e-05	4.76839e-05	9.15532e-05	153.816
4.16	2.7752608e-11	-0.000116826	-9.05996e-06	7.1526e-05	173.934
4.165	2.77859645e-11	-8.44006e-05	2.43188e-05	6.77113e-05	140.238
4.17	2.7819321e-11	-4.43461e-05	9.5368e-06	4.24387e-05	175.65
4.175	2.7852677499999997e-11	-0.000105381	1.62126e-05	8.39238e-05	159.642
4.18	2.7886033999999995e-11	-7.82018e-05	3.81473e-06	7.05724e-05	-177.558
4.185	2.7919390499999996e-11	-6.2943e-05	-2.47956e-05	7.48639e-05	175.386
4.19	2.7952747e-11	-5.57902e-05	3.14715e-05	6.8665e-05	150.444
4.195	2.79861035e-11	-9.10764e-05	7.62945e-06	9.01227e-05	-178.488
4.2	2.801946e-11	-8.15396e-05	3.38557e-05	9.29837e-05	163.248
4.205	2.80528165e-11	-5.43597e-05	2.19346e-05	6.43735e-05	133.224
4.21	2.8086172999999998e-11	-6.00817e-05	1.90736e-05	9.10764e-05	175.68
4.215	2.81195295e-11	-8.72617e-05	1.66894e-05	6.05586e-05	-168.852
4.22	2.8152885999999996e-11	-7.53407e-05	4.57766e-05	6.96187e-05	154.68
4.225	2.8186242499999997e-11	-0.00010109	4.10082e-05	9.53679e-05	150.93
4.23	2.8219599000000002e-11	-5.9128e-05	2.6703e-05	7.29566e-05	166.464
4.235	2.82529555e-11	-6.5804e-05	2.24115e-05	8.53543e-05	177.294
4.24	2.8286312e-11	-8.44006e-05	-2.62262e-05	9.91826e-05	-163.122
4.245	2.8319668499999998e-11	-6.34198e-05	-3.33787e-06	7.29566e-05	-179.232
4.25	2.8353025e-11	-6.53272e-05	7.62945e-06	8.53543e-05	149.85
4.255	2.8386381499999997e-11	-6.62808e-05	2.47956e-05	7.05724e-05	176.808
4.26	2.8419737999999998e-11	-0.00012684	4.29156e-05	0.00012684	172.476
4.265	2.8453094499999996e-11	-5.53133e-05	9.53682e-07	6.67577e-05	-155.256
4.27	2.8486450999999997e-11	-0.000106335	-1.00136e-05	5.00681e-05	-164.748
4.275	2.85198075e-11	-8.20165e-05	6.19893e-05	8.48775e-05	169.716
4.28	2.8553164000000002e-11	-9.44142e-05	-1.28747e-05	8.20165e-05	178.89
4.285	2.85865205e-11	-8.58312e-05	1.00136e-05	8.77385e-05	-172.32
4.29	2.8619876999999997e-11	-6.81882e-05	-9.5368e-06	2.19346e-05	175.914
4.295	2.8653233499999998e-11	-9.77521e-05	6.19891e-06	0.000107289	179.214
4.3	2.8686589999999996e-11	-7.86786e-05	3.95777e-05	0.00010109	169.74
4.305	2.8719946499999997e-11	-7.43871e-05	-1.52589e-05	7.34334e-05	-165.528
4.31	2.8753302999999995e-11	-8.01091e-05	1.4782e-05	9.72752e-05	161.382
4.315	2.8786659500000002e-11	-0.000111104	3.81473e-06	0.000130654	-176.358
4.32	2.8820016e-11	-6.5804e-05	-9.05996e-06	9.82289e-05	177.882
4.325	2.88533725e-11	-9.91826e-05	4.29156e-06	0.00011921	167.958
4.33	2.8886729e-11	-9.63216e-05	3.14715e-05	0.000103951	168.378
4.335	2.89200855e-11	-0.000115395	9.53682e-07	0.000106335	176.016
4.34	2.8953441999999997e-11	-4.14851e-05	-3.00409e-05	7.34334e-05	175.014
4.345	2.8986798499999998e-11	-4.67303e-05	-1.66894e-05	5.53133e-05	-172.98
4.35	2.9020154999999996e-11	-6.77113e-05	1.00136e-05	8.05859e-05	151.308
4.355	2.90535115e-11	-8.77385e-05	1.09673e-05	6.19893e-05	179.724
4.36	2.9086868e-11	-7.77249e-05	9.53682e-07	8.29701e-05	-179.562
4.365	2.91202245e-11	-7.43871e-05	0.0	7.39102e-05	-177.522
4.37	2.9153581e-11	-5.9128e-05	1.43052e-05	5.86512e-05	176.718
4.375	2.91869375e-11	-0.00010252	2.05041e-05	8.48775e-05	157.572
4.38	2.9220294e-11	-9.01227e-05	-6.67575e-06	0.000100613	173.214
4.385	2.92536505e-11	-4.67303e-05	1.71663e-05	5.19755e-05	170.436
4.39	2.9287006999999994e-11	-8.96459e-05	3.81473e-06	0.000100613	167.376
4.395	2.9320363499999995e-11	-0.000106335	2.9564e-05	0.000112057	168.168
4.4	2.935372e-11	-4.95913e-05	4.10082e-05	6.53272e-05	148.986
4.405	2.93870765e-11	-9.203e-05	3.33787e-06	7.05724e-05	157.722
4.41	2.9420433e-11	-7.53407e-05	-4.7684e-06	6.34198e-05	168.144
4.415	2.94537895e-11	-9.72752e-05	5.53133e-05	7.1526e-05	149.946
4.42	2.9487146e-11	-9.67984e-05	-1.43052e-06	8.72617e-05	-175.524
4.425	2.9520502499999995e-11	-5.9128e-05	-1.04905e-05	5.81744e-05	168.96
4.43	2.9553858999999996e-11	-9.67984e-05	3.09946e-05	8.05859e-05	137.442
4.435	2.9587215499999997e-11	-8.20165e-05	1.14442e-05	9.91826e-05	-179.496
4.44	2.9620572000000004e-11	-0.000117779	1.76431e-05	9.34605e-05	157.668
4.445	2.96539285e-11	-8.96459e-05	2.62262e-05	6.96187e-05	176.106
4.45	2.9687285e-11	-2.71798e-05	0.0	4.29156e-05	170.592
4.455	2.97206415e-11	-8.77385e-05	3.09946e-05	9.72752e-05	161.856
4.46	2.9753997999999995e-11	-8.15396e-05	3.33788e-05	6.34198e-05	162.462
4.465	2.9787354499999996e-11	-2.71798e-05	2.76567e-05	1.28747e-05	159.114
4.47	2.9820711e-11	-5.67439e-05	-1.09673e-05	6.19893e-05	-167.736
4.475	2.98540675e-11	-4.43461e-05	-2.86104e-06	2.62262e-05	175.602
4.48	2.9887424e-11	-9.67984e-05	2.3842e-05	0.000129224	166.644
4.485	2.99207805e-11	-8.58312e-05	4.95913e-05	8.20165e-05	147.864
4.49	2.9954137e-11	-9.44142e-05	2.52725e-05	9.96594e-05	161.502
4.495	2.99874935e-11	-6.67577e-05	-4.76841e-07	6.48503e-05	154.566
4.5	3.0020849999999996e-11	-7.67712e-05	3.62399e-05	9.05995e-05	167.358
4.505	3.00542065e-11	-6.10356e-05	-1.66894e-05	8.15396e-05	-173.484
4.51	3.0087563e-11	-9.77521e-05	9.5368e-06	0.000160218	-176.76
4.515	3.01209195e-11	-0.000105381	2.81335e-05	8.77385e-05	-167.772
4.52	3.0154275999999994e-11	-8.20165e-05	4.76841e-07	0.000105858	173.892
4.525	3.01876325e-11	-5.48365e-05	-1.62126e-05	4.72071e-05	-163.698
4.53	3.0220989e-11	-6.00817e-05	7.62945e-06	7.29566e-05	168.594
4.535	3.02543455e-11	-0.00011921	-5.24523e-05	9.82289e-05	-155.868
4.54	3.0287702e-11	-9.48911e-05	2.0981e-05	9.15532e-05	172.77
4.545	3.03210585e-11	-6.34198e-05	2.86104e-06	9.15532e-05	158.748
4.55	3.0354415e-11	-0.000133992	-2.6703e-05	0.000129224	-174.972
4.555	3.0387771499999994e-11	-6.10356e-05	4.29156e-06	7.48639e-05	162.9
4.56	3.0421127999999995e-11	-7.10492e-05	2.24115e-05	6.96187e-05	159.078
4.565	3.04544845e-11	-5.24523e-05	-3.33787e-06	0.00010252	-169.782
4.57	3.0487841e-11	-6.15125e-05	2.00273e-05	7.62944e-05	174.174
4.575	3.05211975e-11	-0.000104428	1.1921e-05	9.96594e-05	178.788
4.58	3.0554554e-11	-6.8665e-05	5.86512e-05	9.53679e-05	145.428
4.585	3.05879105e-11	-5.67439e-05	-1.00136e-05	3.76704e-05	143.616
4.59	3.0621266999999995e-11	-8.44006e-05	-2.3842e-06	8.05859e-05	150.864
4.595	3.0654623499999996e-11	-7.82018e-05	1.52589e-05	0.000100136	176.364
4.6	3.0687979999999997e-11	-3.71935e-05	-1.43052e-06	3.91009e-05	147.156
4.605	3.0721336500000004e-11	-7.29566e-05	3.71935e-05	0.000123502	154.164
4.61	3.0754693e-11	-7.43871e-05	-3.33787e-06	7.58176e-05	-171.96
4.615	3.07880495e-11	-5.67439e-05	0.0	4.72071e-05	152.736
4.62	3.0821406e-11	-8.01091e-05	1.95504e-05	0.000109196	171.624
4.625	3.08547625e-11	-0.000109673	2.86103e-05	0.00011015	164.598
4.63	3.0888118999999996e-11	-9.01227e-05	1.43052e-05	0.000100613	170.67
4.635	3.09214755e-11	-6.34198e-05	3.33787e-06	5.72207e-05	-174.54
4.64	3.0954832e-11	-7.29566e-05	1.85968e-05	9.63216e-05	164.664
4.645	3.098818849999999e-11	-7.96323e-05	3.19483e-05	9.34605e-05	156.036
4.65	3.1021545e-11	-5.67439e-05	-2.47956e-05	6.77113e-05	-148.392
4.655	3.10549015e-11	-9.203e-05	-3.24252e-05	0.000113488	-169.23
4.66	3.1088258e-11	-6.15125e-05	-9.53682e-07	7.91554e-05	171.81
4.665	3.1121614499999996e-11	-6.72345e-05	1.81199e-05	7.77249e-05	165.054
4.67	3.1154971e-11	-0.000146867	3.24252e-05	0.00012827	171.24
4.675	3.11883275e-11	-9.44142e-05	7.15259e-06	9.29837e-05	162.852
4.68	3.1221684e-11	-8.20165e-05	3.62399e-05	0.00011015	161.622
4.685	3.1255040499999994e-11	-0.000114441	-3.09946e-05	0.000110627	-160.908
4.69	3.1288397e-11	-8.3447e-05	3.09946e-05	0.000100136	158.802
4.695	3.13217535e-11	-5.43597e-05	4.29156e-06	7.10492e-05	167.97
4.7	3.135511e-11	-9.63216e-05	-9.53682e-07	7.62944e-05	167.736
4.705	3.13884665e-11	-0.000124455	9.5368e-06	0.000111104	180.0
4.71	3.1421823e-11	-0.000105858	2.05041e-05	0.000103951	173.34
4.715	3.14551795e-11	-7.67712e-05	1.66894e-05	9.29837e-05	172.434
4.72	3.1488535999999994e-11	-8.10628e-05	-1.09673e-05	0.000101567	-169.104
4.725	3.1521892499999995e-11	-3.76704e-05	3.5763e-05	7.05724e-05	173.046
4.73	3.1555249e-11	-8.44006e-05	2.19346e-05	8.86922e-05	171.906
4.735	3.1588605500000004e-11	-8.72617e-05	1.00136e-05	8.39238e-05	169.992
4.74	3.1621962e-11	-5.67439e-05	-1.43052e-06	7.53407e-05	145.206
4.745	3.16553185e-11	-5.43597e-05	2.86104e-06	3.91009e-05	140.274
4.75	3.1688675e-11	-6.8665e-05	8.58313e-06	5.76975e-05	164.346
4.755	3.1722031499999995e-11	-3.8624e-05	-1.4782e-05	5.72207e-05	-176.166
4.76	3.1755387999999996e-11	-0.000106335	1.09673e-05	7.62944e-05	154.668
4.765	3.1788744499999997e-11	-0.000135423	5.19755e-05	0.000119687	153.066
4.77	3.1822101e-11	-8.53543e-05	2.47956e-05	0.000104905	151.446
4.775	3.18554575e-11	-9.44142e-05	5.24524e-06	8.01091e-05	-175.302
4.78	3.1888814e-11	-0.000106335	1.00136e-05	7.96323e-05	150.288
4.785	3.19221705e-11	-6.10356e-05	7.62945e-06	6.53272e-05	168.51
4.79	3.1955527e-11	-3.95777e-05	2.14578e-05	3.33788e-05	161.568
4.795	3.1988883499999996e-11	-0.000110627	4.33924e-05	0.000123979	154.98
4.8	3.202224e-11	-7.67712e-05	-3.38557e-05	9.82289e-05	-168.528
4.805	3.20555965e-11	-8.67848e-05	-2.6703e-05	9.63216e-05	-159.924
4.81	3.208895299999999e-11	-9.203e-05	-1.71663e-05	0.00011158	-166.524
4.815	3.21223095e-11	-4.91145e-05	3.62399e-05	7.10492e-05	150.6
4.82	3.2155666e-11	-7.1526e-05	5.24524e-06	7.00955e-05	-155.46
4.825	3.21890225e-11	-9.39374e-05	1.95504e-05	9.77521e-05	169.176
4.83	3.2222378999999996e-11	-7.58176e-05	2.57493e-05	0.000111104	148.446
4.835	3.22557355e-11	-7.62944e-05	5.19755e-05	9.25069e-05	151.476
4.84	3.2289092e-11	-9.44142e-05	-2.57493e-05	8.39238e-05	-176.502
4.845	3.23224485e-11	-0.000125409	3.05178e-05	0.000104905	153.624
4.85	3.2355804999999994e-11	-6.19893e-05	4.29156e-06	6.48503e-05	180.0
4.855	3.23891615e-11	-6.5804e-05	-2.47956e-05	6.96187e-05	-150.948
4.86	3.2422518e-11	-5.10218e-05	2.76567e-05	5.0545e-05	155.592
4.865	3.24558745e-11	-0.000109673	9.05996e-06	9.77521e-05	168.864
4.87	3.2489231e-11	-7.24797e-05	1.4782e-05	0.00010109	156.978
4.875	3.25225875e-11	-5.9128e-05	-1.00136e-05	6.05586e-05	173.886
4.88	3.2555944e-11	-0.000100136	3.62399e-05	0.000108243	169.404
4.885	3.2589300499999994e-11	-5.76975e-05	3.38557e-05	9.48911e-05	165.882
4.89	3.2622656999999995e-11	-0.000119687	5.19755e-05	0.000103474	174.36
4.895	3.2656013499999996e-11	-7.86786e-05	5.67439e-05	8.6308e-05	153.534
4.9	3.2689370000000004e-11	-0.000121594	1.09673e-05	7.10492e-05	173.85
4.905	3.27227265e-11	-4.57766e-05	1.52589e-05	8.82153e-05	145.854
4.91	3.2756083e-11	-7.82018e-05	4.29156e-06	5.81744e-05	164.796
4.915	3.27894395e-11	-9.29837e-05	3.38557e-05	7.58176e-05	141.87
4.92	3.2822795999999995e-11	-6.10356e-05	3.00409e-05	3.52862e-05	-170.88
4.925	3.2856152499999996e-11	-8.15396e-05	2.71798e-05	0.00010252	150.792
4.93	3.2889508999999997e-11	-4.67303e-05	2.62262e-05	7.67712e-05	159.006
4.935	3.29228655e-11	-0.000102044	1.1921e-05	9.58447e-05	179.142
4.94	3.2956222e-11	3.5763e-05	3.81473e-06	4.95913e-05	130.008
4.945	3.29895785e-11	-9.67984e-05	-1.57357e-05	5.38828e-05	153.438
4.95	3.3022935e-11	-6.2943e-05	-1.00136e-05	5.96049e-05	149.034
4.955	3.30562915e-11	-9.44142e-05	1.28747e-05	8.6308e-05	152.184
4.96	3.3089647999999996e-11	-0.000112057	5.6267e-05	9.91826e-05	176.064
4.965	3.31230045e-11	-7.10492e-05	-1.57357e-05	9.48911e-05	-153.246
4.97	3.3156361e-11	-6.19893e-05	4.86376e-05	0.000103951	151.926
4.975	3.31897175e-11	-6.10356e-05	-2.71798e-05	6.10356e-05	177.024
4.98	3.3223074e-11	-1.33515e-05	2.62262e-05	1.04905e-05	-162.474
4.985	3.32564305e-11	-7.24797e-05	3.81473e-06	9.39374e-05	161.844
4.99	3.3289787e-11	-6.34198e-05	-3.33788e-05	4.91145e-05	-162.24
