Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#With Preamplifier, Amplification 1,High pass 100Hz, low pass 300Hz Chopper 230Hz, time constant=0.03, sensitivity=10mV
4.0	2.66852e-11	-4.00546e-05	3.43325e-05	6.96187e-05	148.782
4.005	2.6718556499999996e-11	-4.67303e-05	1.85968e-05	4.57766e-05	-169.242
4.01	2.6751912999999997e-11	-3.76704e-05	-5.72208e-06	2.28883e-05	97.296
4.015	2.6785269499999995e-11	-9.72752e-05	2.9564e-05	0.000101567	175.41
4.02	2.6818625999999996e-11	-2.24115e-05	-1.33515e-05	2.9564e-05	-163.344
4.025	2.68519825e-11	1.85968e-05	1.1921e-05	3.19483e-05	84.474
4.03	2.6885339e-11	-4.33924e-05	2.9564e-05	5.29292e-05	125.49
4.035	2.69186955e-11	-3.2902e-05	-4.67303e-05	6.96187e-05	-135.618
4.04	2.6952052e-11	-2.81335e-05	1.90736e-06	4.86376e-05	158.658
4.045	2.6985408499999998e-11	-1.4782e-05	3.81473e-06	4.00546e-05	-152.418
4.05	2.7018765e-11	-2.57493e-05	1.62126e-05	6.96187e-05	174.456
4.055	2.7052121499999996e-11	-2.3842e-05	4.19619e-05	4.29156e-05	152.49
4.06	2.7085477999999997e-11	-2.71798e-05	3.76704e-05	4.05314e-05	106.23
4.065	2.7118834500000002e-11	-4.05314e-05	6.19891e-06	4.91145e-05	150.252
4.07	2.7152191e-11	-2.19346e-05	-1.90736e-05	4.29156e-05	-132.276
4.075	2.71855475e-11	-4.48229e-05	2.43188e-05	5.38828e-05	147.306
4.08	2.7218903999999998e-11	1.90736e-06	2.00273e-05	4.33924e-05	146.082
4.085	2.72522605e-11	8.10629e-06	1.52589e-05	3.24252e-05	142.962
4.09	2.7285616999999997e-11	-1.14442e-05	5.24524e-06	3.71935e-05	166.374
4.095	2.7318973499999998e-11	-3.5763e-05	-2.3842e-06	5.9128e-05	-164.748
4.1	2.7352329999999996e-11	1.09673e-05	-2.3842e-06	2.14578e-05	-42.582
4.105	2.7385686500000003e-11	-5.72207e-05	3.52862e-05	4.62534e-05	180.0
4.11	2.7419043e-11	-2.81335e-05	1.57357e-05	8.58313e-06	-100.932
4.115	2.74523995e-11	-8.10629e-06	3.19483e-05	3.67167e-05	-150.714
4.12	2.7485756e-11	-1.57357e-05	2.86103e-05	3.38557e-05	118.332
4.125	2.7519112499999997e-11	-2.62262e-05	8.58313e-06	4.19619e-05	-137.316
4.13	2.7552468999999998e-11	-4.67303e-05	5.86512e-05	8.20165e-05	145.434
4.135	2.7585825499999996e-11	-1.43052e-06	-3.33787e-06	3.19483e-05	135.0
4.14	2.7619181999999997e-11	-3.14715e-05	-5.00681e-05	7.20029e-05	-146.742
4.145	2.7652538499999995e-11	-1.4782e-05	-5.72208e-06	5.72208e-06	-38.658
4.15	2.7685895000000002e-11	-3.76704e-05	1.62126e-05	9.05996e-06	140.082
4.155	2.77192515e-11	-2.6703e-05	9.05996e-06	2.52725e-05	135.0
4.16	2.7752608e-11	-6.48503e-05	2.86104e-06	4.76839e-05	159.444
4.165	2.77859645e-11	-3.71935e-05	7.62945e-06	4.48229e-05	-162.06
4.17	2.7819321e-11	-5.67439e-05	-5.24524e-06	4.00546e-05	-165.276
4.175	2.7852677499999997e-11	-3.43325e-05	2.3842e-06	2.47956e-05	158.196
4.18	2.7886033999999995e-11	-7.62945e-06	6.19891e-06	1.62126e-05	59.304
4.185	2.7919390499999996e-11	0.0	3.71935e-05	2.76567e-05	110.808
4.19	2.7952747e-11	1.09673e-05	-4.43461e-05	4.33924e-05	-93.012
4.195	2.79861035e-11	-2.76567e-05	2.00273e-05	3.81472e-05	136.836
4.2	2.801946e-11	-2.76567e-05	1.81199e-05	1.85968e-05	171.87
4.205	2.80528165e-11	-2.28883e-05	1.95504e-05	1.09673e-05	-145.494
4.21	2.8086172999999998e-11	-2.90872e-05	1.43052e-05	4.29156e-05	-169.758
4.215	2.81195295e-11	-2.9564e-05	4.38693e-05	5.43597e-05	146.022
4.22	2.8152885999999996e-11	-5.00681e-05	3.5763e-05	3.91009e-05	78.378
4.225	2.8186242499999997e-11	-1.4782e-05	-2.3842e-06	1.66894e-05	147.342
4.23	2.8219599000000002e-11	-4.00546e-05	1.95504e-05	3.81472e-05	128.046
4.235	2.82529555e-11	-2.71798e-05	1.85968e-05	2.81335e-05	-170.91
4.24	2.8286312e-11	-5.86512e-05	6.19893e-05	8.82153e-05	128.448
4.245	2.8319668499999998e-11	-2.05041e-05	1.57357e-05	1.57357e-05	74.898
4.25	2.8353025e-11	-2.05041e-05	-3.33787e-06	3.38557e-05	-173.844
4.255	2.8386381499999997e-11	-4.91145e-05	2.28883e-05	5.53133e-05	166.89
4.26	2.8419737999999998e-11	-1.23978e-05	-6.67575e-06	5.67439e-05	171.636
4.265	2.8453094499999996e-11	-6.67575e-06	1.62126e-05	9.05996e-06	109.092
4.27	2.8486450999999997e-11	-5.81744e-05	1.52589e-05	4.81608e-05	144.462
4.275	2.85198075e-11	-7.91554e-05	-4.76841e-07	7.72481e-05	168.072
4.28	2.8553164000000002e-11	-4.7684e-06	2.19346e-05	2.28883e-05	131.55
4.285	2.85865205e-11	-2.6703e-05	0.0	1.1921e-05	-92.772
4.29	2.8619876999999997e-11	-3.91009e-05	1.95504e-05	4.24387e-05	89.598
4.295	2.8653233499999998e-11	-1.81199e-05	-3.33787e-06	8.10629e-06	26.982
4.3	2.8686589999999996e-11	-3.76704e-05	1.62126e-05	3.52862e-05	164.934
4.305	2.8719946499999997e-11	-3.00409e-05	-3.67167e-05	2.86103e-05	144.834
4.31	2.8753302999999995e-11	-5.24524e-06	6.67575e-06	2.05041e-05	163.14
4.315	2.8786659500000002e-11	-1.66894e-05	1.52589e-05	1.4782e-05	139.638
4.32	2.8820016e-11	-2.24115e-05	3.43325e-05	3.81472e-05	101.514
4.325	2.88533725e-11	-2.90872e-05	5.53133e-05	6.00817e-05	152.166
4.33	2.8886729e-11	-8.10629e-06	5.6267e-05	7.86786e-05	128.244
4.335	2.89200855e-11	-3.8624e-05	3.33787e-06	3.62399e-05	-169.62
4.34	2.8953441999999997e-11	-6.24661e-05	3.00409e-05	5.53133e-05	175.794
4.345	2.8986798499999998e-11	-2.52725e-05	3.33788e-05	4.00546e-05	147.804
4.35	2.9020154999999996e-11	-1.76431e-05	-2.86104e-06	2.28883e-05	-177.306
4.355	2.90535115e-11	-3.5763e-05	5.24524e-06	2.05041e-05	130.446
4.36	2.9086868e-11	-4.7684e-06	3.38557e-05	4.76839e-05	71.154
4.365	2.91202245e-11	-1.43052e-06	-8.10629e-06	6.19891e-06	51.342
4.37	2.9153581e-11	-5.67439e-05	-1.4782e-05	3.38557e-05	-155.772
4.375	2.91869375e-11	-3.05178e-05	-3.33787e-06	1.90736e-05	171.57
4.38	2.9220294e-11	-7.62945e-06	3.95777e-05	3.95777e-05	140.988
4.385	2.92536505e-11	-3.24252e-05	-2.3842e-06	3.14715e-05	153.636
4.39	2.9287006999999994e-11	-2.90872e-05	5.86512e-05	8.6308e-05	128.28
4.395	2.9320363499999995e-11	-2.33651e-05	-1.38283e-05	2.86103e-05	-132.318
4.4	2.935372e-11	-3.67167e-05	4.7684e-06	1.66894e-05	-151.05
4.405	2.93870765e-11	-3.09946e-05	-1.66894e-05	4.62534e-05	175.68
4.41	2.9420433e-11	-3.24252e-05	1.33515e-05	5.29292e-05	176.16
4.415	2.94537895e-11	-4.33924e-05	4.95913e-05	7.53407e-05	146.31
4.42	2.9487146e-11	-1.00136e-05	1.09673e-05	3.8624e-05	175.524
4.425	2.9520502499999995e-11	-2.81335e-05	5.24524e-06	5.38828e-05	158.256
4.43	2.9553858999999996e-11	-2.90872e-05	1.28747e-05	3.43325e-05	130.734
