Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 

5.0	3.33565e-11	2.4736e-05	1.42456e-05	2.47956e-05	-26.448
5.1	3.402363e-11	-1.56761e-05	6.37774e-05	7.59964e-05	151.278
5.2	3.469076e-11	3.57629e-06	-2.45572e-05	6.21681e-05	-63.03
5.3	3.535789e-11	-1.62126e-05	-2.68222e-05	7.93342e-05	-122.508
5.4	3.602502e-11	3.08158e-05	-2.69414e-05	5.17967e-05	-49.05
5.5	3.669215e-11	-3.33787e-06	-3.58822e-05	4.74455e-05	0.57
5.6	3.735928e-11	-5.883e-05	-6.43733e-06	4.15447e-05	-115.794
5.7	3.802641e-11	2.3246e-06	5.96051e-08	4.61938e-05	-133.998
5.8	3.869354e-11	-2.92064e-05	1.37091e-06	3.63591e-05	131.94
5.9	3.936067e-11	-1.99081e-05	2.65242e-05	4.66111e-05	156.15
6.0	4.00278e-11	2.98025e-07	9.71562e-06	3.5763e-05	175.338
