Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#With Preamplifier, Amplification 1,High pass 100Hz, low pass 300Hz Chopper 230Hz, time constant=0.03, sensitivity=10mV
4.0	2.66852e-11	-8.10629e-06	-1.43052e-05	2.86104e-06	142.764
4.005	2.6718556499999996e-11	2.43188e-05	-2.00273e-05	3.19483e-05	10.584
4.01	2.6751912999999997e-11	4.48229e-05	1.76431e-05	6.96187e-05	28.83
4.015	2.6785269499999995e-11	1.52589e-05	3.33787e-06	2.28883e-05	144.228
4.02	2.6818625999999996e-11	2.86104e-06	3.91009e-05	4.19619e-05	150.348
4.025	2.68519825e-11	1.95504e-05	-3.67167e-05	3.95777e-05	-92.862
4.03	2.6885339e-11	-3.76704e-05	-1.4782e-05	3.2902e-05	154.8
4.035	2.69186955e-11	5.24524e-06	3.00409e-05	1.76431e-05	119.538
4.04	2.6952052e-11	-3.81473e-06	-2.47956e-05	2.9564e-05	-90.0
4.045	2.6985408499999998e-11	7.62945e-06	-1.43052e-06	2.14578e-05	52.632
4.05	2.7018765e-11	3.81473e-06	2.81335e-05	1.52589e-05	42.882
4.055	2.7052121499999996e-11	-9.53682e-07	-6.19891e-06	1.52589e-05	-132.828
4.06	2.7085477999999997e-11	-3.2902e-05	-4.76841e-07	2.52725e-05	142.482
4.065	2.7118834500000002e-11	5.24524e-06	-3.76704e-05	3.43325e-05	-120.696
4.07	2.7152191e-11	3.00409e-05	1.04905e-05	4.7684e-06	-124.992
4.075	2.71855475e-11	-1.90736e-06	-8.58313e-06	1.28747e-05	90.0
4.08	2.7218903999999998e-11	-1.38283e-05	4.29156e-05	4.52998e-05	90.0
4.085	2.72522605e-11	-1.66894e-05	-2.57493e-05	3.38557e-05	-127.65
4.09	2.7285616999999997e-11	-2.86104e-06	-4.76841e-07	1.81199e-05	152.448
4.095	2.7318973499999998e-11	-1.38283e-05	1.81199e-05	5.24524e-06	-90.0
4.1	2.7352329999999996e-11	-3.5763e-05	-1.4782e-05	4.19619e-05	-134.394
4.105	2.7385686500000003e-11	2.62262e-05	3.33787e-06	5.24524e-06	-174.804
4.11	2.7419043e-11	1.04905e-05	2.47956e-05	2.47956e-05	113.028
4.115	2.74523995e-11	7.62945e-06	-2.3842e-06	1.23978e-05	12.336
4.12	2.7485756e-11	2.81335e-05	9.5368e-06	1.95504e-05	21.804
4.125	2.7519112499999997e-11	-3.09946e-05	4.86376e-05	5.0545e-05	172.788
4.13	2.7552468999999998e-11	2.86103e-05	2.76567e-05	3.95777e-05	55.92
