Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 

10.5	7.004865e-11	-1.09673e-05	1.57357e-05	4.79224e-05	39.978
10.51	7.011536299999999e-11	-3.45709e-05	-5.65054e-05	6.05586e-05	-96.6
10.52	7.018207599999999e-11	1.6451e-05	-9.03611e-05	8.72617e-05	-33.15
10.53	7.0248789e-11	1.1921e-06	3.48093e-05	3.45709e-05	129.768
10.54	7.031550199999998e-11	5.55518e-05	3.17099e-05	6.19893e-05	-2.844
10.55	7.0382215e-11	-6.05586e-05	-1.28747e-05	3.26636e-05	65.898
10.56	7.0448928e-11	3.09946e-06	-1.07289e-05	3.09946e-05	-32.748
10.57	7.0515641e-11	1.76431e-05	2.05041e-05	2.0981e-05	-51.072
10.58	7.058235399999999e-11	-6.67575e-06	2.26499e-05	1.69278e-05	-92.814
10.59	7.0649067e-11	3.5763e-05	-2.43188e-05	2.59877e-05	45.744
10.6	7.071578e-11	5.6267e-05	1.31131e-05	7.53407e-05	29.67
10.61	7.0782493e-11	2.19346e-05	3.02793e-05	2.05041e-05	130.476
10.62	7.084920599999999e-11	2.00273e-05	1.04905e-05	2.19346e-05	53.616
10.63	7.0915919e-11	1.09673e-05	3.81473e-06	4.36308e-05	-51.954
10.64	7.0982632e-11	1.09673e-05	-2.45572e-05	4.3154e-05	-28.92
10.65	7.104934499999999e-11	4.05314e-06	2.88488e-05	3.02793e-05	92.418
10.66	7.1116058e-11	5.03066e-05	5.48365e-05	5.65054e-05	27.834
10.67	7.1182771e-11	2.81335e-05	-3.55246e-05	3.43325e-05	-178.872
10.68	7.1249484e-11	3.57629e-06	2.24115e-05	6.96187e-05	52.824
10.69	7.131619699999999e-11	2.90872e-05	3.19483e-05	1.6451e-05	-66.252
10.7	7.138290999999999e-11	-1.09673e-05	1.52589e-05	2.9564e-05	-167.664
10.71	7.1449623e-11	-1.88352e-05	1.81199e-05	1.76431e-05	151.698
10.72	7.151633600000001e-11	-3.33787e-06	-2.52725e-05	5.19755e-05	168.534
10.73	7.1583049e-11	2.3842e-05	1.71663e-05	3.02793e-05	75.138
10.74	7.1649762e-11	8.48775e-05	2.0981e-05	6.1274e-05	-13.758
10.75	7.1716475e-11	-1.00136e-05	9.77522e-06	1.69278e-05	-111.612
10.76	7.178318799999999e-11	3.00409e-05	1.71663e-05	6.15125e-05	32.61
10.77	7.184990099999999e-11	3.26636e-05	4.7684e-06	5.26907e-05	58.902
10.78	7.191661399999999e-11	-1.21594e-05	-5.29292e-05	7.41486e-05	-105.462
10.79	7.1983327e-11	1.85968e-05	4.43461e-05	5.26907e-05	162.72
10.8	7.205004e-11	6.43733e-06	1.85968e-05	2.76567e-05	-22.488
10.81	7.2116753e-11	2.52725e-05	-4.3154e-05	4.41077e-05	-86.934
10.82	7.2183466e-11	-3.76704e-05	-3.64783e-05	3.74319e-05	-89.7
10.83	7.2250179e-11	4.14851e-05	-1.12057e-05	3.19483e-05	-158.502
10.84	7.231689199999999e-11	-9.34605e-05	3.09946e-06	0.000110388	159.048
10.85	7.238360499999999e-11	3.00409e-05	9.29838e-06	4.29156e-06	-86.346
10.86	7.2450318e-11	-1.07289e-05	3.71935e-05	2.98024e-05	-141.738
10.87	7.2517031e-11	-1.88352e-05	4.29156e-06	4.6015e-05	8.838
10.88	7.2583744e-11	-1.90736e-05	4.76841e-07	1.33515e-05	114.588
10.89	7.2650457e-11	7.62945e-06	2.71798e-05	4.36308e-05	120.708
10.9	7.271717e-11	1.35899e-05	-2.98024e-05	5.81744e-05	-28.956
10.91	7.278388299999999e-11	4.07698e-05	3.52862e-05	1.83583e-05	-123.876
10.92	7.2850596e-11	-4.33924e-05	6.15125e-05	4.29156e-05	156.402
10.93	7.2917309e-11	-2.76567e-05	2.76567e-05	2.76567e-05	146.82
10.94	7.2984022e-11	-2.33651e-05	9.29838e-06	1.69278e-05	-12.48
10.95	7.305073499999999e-11	5.03066e-05	-8.34471e-06	6.24661e-05	-16.644
10.96	7.3117448e-11	-4.29156e-06	1.43052e-06	2.81335e-05	-67.248
10.97	7.3184161e-11	-1.71663e-05	5.48366e-06	2.64646e-05	-43.428
10.98	7.325087399999999e-11	-1.28747e-05	-1.88352e-05	4.79224e-05	-113.268
10.99	7.3317587e-11	8.58313e-06	-1.02521e-05	4.50613e-05	-97.986
11.0	7.33843e-11	4.29156e-06	3.93393e-05	3.36173e-05	63.438
11.01	7.3451013e-11	-1.78815e-05	-2.62262e-05	3.14715e-05	-141.168
11.02	7.351772599999999e-11	4.91145e-05	4.24387e-05	3.74319e-05	93.306
11.03	7.358443899999999e-11	-1.33515e-05	-1.88352e-05	2.93256e-05	-122.082
11.04	7.365115199999999e-11	-1.76431e-05	-1.95504e-05	4.48229e-05	-133.842
11.05	7.371786500000001e-11	4.24387e-05	-3.8624e-05	4.45845e-05	3.936
11.06	7.3784578e-11	2.14578e-06	-1.54973e-05	4.62534e-05	-114.096
11.07	7.3851291e-11	-4.83992e-05	1.59742e-05	4.62534e-05	-154.698
11.08	7.3918004e-11	1.76431e-05	-2.9564e-05	4.33924e-05	-112.572
11.09	7.398471699999999e-11	6.43733e-06	-3.26636e-05	4.24387e-05	-12.816
11.1	7.405142999999999e-11	-1.21594e-05	2.55109e-05	1.85968e-05	150.996
11.11	7.411814299999999e-11	5.24523e-05	-3.88625e-05	4.74455e-05	-85.02
11.12	7.4184856e-11	-1.54973e-05	6.43733e-06	7.15259e-06	-22.38
11.13	7.4251569e-11	-2.14578e-05	-2.3842e-05	1.12057e-05	139.146
11.14	7.4318282e-11	-1.71663e-05	2.3842e-06	3.02793e-05	-29.862
11.15	7.4384995e-11	-6.91419e-05	1.28747e-05	4.33924e-05	123.786
11.16	7.4451708e-11	2.19346e-05	-2.88488e-05	2.57493e-05	-74.52
11.17	7.451842099999999e-11	-3.33787e-06	-1.71663e-05	2.93256e-05	-34.128
11.18	7.458513399999999e-11	-2.16962e-05	2.0981e-05	1.76431e-05	58.602
11.19	7.4651847e-11	-1.33515e-05	9.29838e-06	5.48366e-06	-74.052
11.2	7.471856e-11	4.29156e-06	-1.16826e-05	3.5763e-05	-13.722
11.21	7.4785273e-11	2.24115e-05	3.81473e-06	2.52725e-05	-54.39
11.22	7.4851986e-11	-1.28747e-05	3.14715e-05	3.67167e-05	114.228
11.23	7.4918699e-11	2.16962e-05	-5.26907e-05	2.12194e-05	49.158
11.24	7.498541199999999e-11	2.69414e-05	1.81199e-05	2.59877e-05	70.482
11.25	7.5052125e-11	5.53133e-05	-1.07289e-05	8.53543e-05	-6.45
11.26	7.5118838e-11	-8.58313e-06	4.57766e-05	6.0797e-05	138.702
11.27	7.5185551e-11	7.86787e-06	-2.83719e-05	4.26772e-05	-75.144
11.28	7.525226399999999e-11	7.55792e-05	2.19346e-05	2.78951e-05	18.3
11.29	7.531897699999999e-11	3.17099e-05	-1.85968e-05	2.76567e-05	-66.162
11.3	7.538569e-11	1.12057e-05	-2.14578e-06	2.31267e-05	-43.026
11.31	7.545240299999999e-11	-7.6056e-05	-1.26362e-05	3.26636e-05	-85.776
11.32	7.5519116e-11	8.10629e-06	-7.6056e-05	6.55656e-05	-112.332
11.33	7.5585829e-11	4.05314e-06	2.86103e-05	5.17371e-05	78.522
11.34	7.5652542e-11	-4.43461e-05	2.19346e-05	5.3406e-05	-174.684
11.35	7.571925499999999e-11	-1.54973e-05	-7.43871e-05	6.00817e-05	-94.422
11.36	7.578596799999999e-11	-2.00273e-05	6.96187e-05	5.22139e-05	-168.93
11.37	7.585268099999999e-11	4.98297e-05	-2.3842e-06	7.41486e-05	-16.068
11.38	7.591939400000001e-11	-4.76839e-05	1.76431e-05	4.33924e-05	-174.786
11.39	7.5986107e-11	-1.00136e-05	3.09946e-05	3.24252e-05	70.284
11.4	7.605282e-11	1.1921e-05	-1.59742e-05	2.76567e-05	-109.902
11.41	7.6119533e-11	1.81199e-05	-2.12194e-05	3.60014e-05	179.334
11.42	7.6186246e-11	-3.81473e-06	-7.15259e-07	5.86512e-05	147.456
11.43	7.625295899999999e-11	0.0	1.43052e-05	5.72207e-05	16.332
11.44	7.631967199999999e-11	-1.90736e-06	3.81472e-05	3.14715e-05	102.492
11.45	7.6386385e-11	-2.9564e-05	-3.81473e-06	2.0981e-05	-168.96
11.46	7.6453098e-11	-3.14715e-05	4.55382e-05	4.17235e-05	114.096
11.47	7.6519811e-11	8.98843e-05	-6.89034e-05	9.17916e-05	-10.602
11.48	7.6586524e-11	3.64783e-05	-1.07289e-05	5.45981e-05	-35.694
11.49	7.6653237e-11	5.79359e-05	-1.33515e-05	5.57902e-05	24.114
11.5	7.671994999999999e-11	-3.91009e-05	2.07425e-05	4.52998e-05	147.882
