Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.03, sensitivity=5mV
6.0	4.00278e-11	1.88352e-05	8.84538e-05	0.000192405	-154.224
6.03	4.0227939e-11	0.000108481	5.19755e-05	0.000130416	127.368
6.06	4.0428078e-11	-0.000123263	3.91009e-05	3.93393e-05	-12.324
6.09	4.0628217e-11	0.000107289	-8.03475e-05	0.000164271	64.494
6.12	4.0828356e-11	-0.000175	4.6015e-05	0.000206471	-113.328
6.15	4.1028495e-11	4.69687e-05	-0.000157357	9.29837e-05	118.878
6.18	4.1228633999999996e-11	3.52862e-05	0.000102282	0.000164987	-175.164
6.21	4.1428772999999995e-11	-0.00012684	-3.67167e-05	0.000116349	-44.358
6.24	4.1628912e-11	-3.00409e-05	-5.41213e-05	0.000121117	68.82
6.27	4.1829050999999994e-11	3.00409e-05	0.000204326	0.000269176	177.126
6.3	4.2029189999999994e-11	-0.000294449	-8.05859e-05	0.000261785	-95.958
6.33	4.2229329e-11	-0.000304462	-0.00030637	0.000211478	-10.938
6.36	4.2429468e-11	0.000244619	-0.000104189	0.000175	68.406
6.39	4.2629607e-11	0.000167609	0.000205279	0.000200273	174.06
6.42	4.2829746e-11	-9.72752e-05	0.000146152	0.000266792	-137.106
6.45	4.3029885e-11	-0.000256063	-6.05586e-05	0.000266315	-105.366
6.48	4.3230024e-11	-0.000125886	-0.000165702	0.000208856	-56.838
6.51	4.3430162999999996e-11	-0.000282528	-0.00010252	0.00025511	-77.154
6.54	4.3630301999999995e-11	-0.000148297	-0.00018716	0.000254633	-39.342
6.57	4.3830441e-11	-0.000258924	-0.000187875	0.000172854	-40.074
6.6	4.4030579999999994e-11	-0.000199557	-0.000325443	0.000347139	-51.114
6.63	4.4230719e-11	-3.81473e-06	8.46391e-05	9.79905e-05	-73.632
6.66	4.4430858e-11	0.000238896	0.00035	0.000227214	41.052
6.69	4.4630997e-11	0.000388386	0.00030327	0.000351908	86.526
6.72	4.4831136e-11	0.000270845	4.14851e-05	0.000415565	60.546
6.75	4.5031275e-11	-6.38966e-05	-0.000190497	0.000206233	0.93
6.78	4.5231414e-11	-0.000227214	2.12194e-05	0.000362875	-121.698
6.81	4.5431552999999997e-11	5.48366e-06	6.03201e-05	0.000286343	147.42
6.84	4.5631691999999996e-11	-0.000263216	-0.000231982	0.000180961	-22.158
6.87	4.5831830999999996e-11	-4.07698e-05	9.75137e-05	0.000232221	-120.666
6.9	4.603197e-11	0.000332596	0.000181437	0.000288965	101.496
6.93	4.6232108999999994e-11	-0.000272037	-0.000149966	0.000269892	-82.2
6.96	4.6432248e-11	0.000304224	0.000106574	0.000193597	115.752
6.99	4.6632387e-11	-0.000258924	-0.000136376	0.000261785	-82.038
7.02	4.683252599999999e-11	0.000121832	-1.54973e-05	0.000156404	105.57
7.05	4.7032665e-11	-0.000254394	-0.00011611	0.000290634	-89.94
7.08	4.7232804e-11	0.000296595	-0.000219823	0.000431301	18.984
7.11	4.7432943e-11	9.96594e-05	0.000219346	0.000260832	158.124
7.14	4.7633081999999997e-11	-0.000270845	-6.43735e-05	0.000288965	-106.368
7.17	4.7833220999999996e-11	-6.36582e-05	-0.000205041	0.000184298	29.346
7.2	4.8033359999999996e-11	0.000290396	0.000112534	0.000241281	102.942
7.23	4.8233499e-11	0.000274422	0.0002203	0.000282051	114.72
7.26	4.8433637999999994e-11	-0.0001328	0.000243426	0.0003953	-177.522
7.29	4.8633777e-11	-0.000335695	-2.74183e-05	0.000284435	-109.182
7.32	4.8833916e-11	-0.000257971	-0.000218869	0.00023079	-48.312
7.35	4.903405499999999e-11	-7.00955e-05	-0.0003078	0.00031996	-32.712
7.38	4.9234194e-11	-8.32085e-05	-0.000286343	0.00027323	-21.168
7.41	4.9434333e-11	-0.000175954	-0.000289204	0.0002656	-8.856
7.44	4.9634472e-11	7.1526e-05	-0.000191451	0.000247957	9.972
7.47	4.9834611e-11	-5.53133e-05	-0.000353577	0.000304224	-48.282
7.5	5.0034749999999996e-11	-0.000110627	-0.000235558	0.000261309	-45.792
7.53	5.0234889e-11	-0.000366213	-0.000244858	0.000343086	-87.39
7.56	5.0435027999999995e-11	-0.000370981	-0.000109435	0.000331165	-87.63
7.59	5.0635166999999994e-11	-0.00022936	0.000102044	0.000356914	-162.516
7.62	5.0835306e-11	9.56063e-05	0.000282289	0.000278952	151.932
7.65	5.1035445e-11	0.000385763	0.000160933	0.000384571	78.942
7.68	5.123558399999999e-11	-0.000100375	0.000185014	0.000339272	-169.032
7.71	5.1435723e-11	0.00033641	0.000140668	0.000384809	74.91
7.74	5.1635862e-11	-0.000143767	-0.000318052	0.000285866	-39.504
7.77	5.1836001e-11	-0.000382425	9.72752e-05	0.000409367	-154.242
7.8	5.203614e-11	0.000349047	0.000139476	0.000241281	107.16
7.83	5.2236278999999996e-11	-0.000160218	-0.000354769	0.000379564	-75.288
7.86	5.2436418e-11	0.000189305	0.000414373	0.000402691	124.974
7.89	5.2636556999999995e-11	-0.000118494	-0.000305893	0.000342609	-44.052
7.92	5.2836695999999994e-11	0.000320675	0.000416996	0.000446083	110.79
7.95	5.3036835e-11	-0.000230552	-0.000257017	0.000279667	-68.67
7.98	5.3236974e-11	0.000407698	8.41622e-05	0.000396254	42.708
8.01	5.343711299999999e-11	-0.000238181	0.000362637	0.000481369	174.048
8.04	5.363725199999999e-11	-0.000253679	-0.000432493	0.00044799	-75.426
8.07	5.3837391e-11	0.000469925	2.14578e-05	0.000446798	44.466
8.1	5.403753e-11	0.000230313	0.000315906	0.000306131	133.254
8.13	5.4237669000000003e-11	-0.000285627	8.67848e-05	0.000231982	-150.444
8.16	5.4437807999999996e-11	-0.000232697	-0.000273706	0.000355484	-89.73
8.19	5.4637946999999996e-11	9.01227e-05	-0.000350477	0.000388624	-32.232
