Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3 6dB, sensitivity=20mV
6.0	4.00278e-11	-0.000106812	-0.000205041	0.000206948	-160.974
6.01	4.0094512999999995e-11	0.000108719	4.86376e-05	0.000182153	132.138
6.02	4.0161226e-11	-0.000263216	-0.000210763	0.000229836	146.616
6.03	4.0227939e-11	0.000104905	0.000170709	0.000236512	-145.968
6.04	4.0294652e-11	-0.000127793	1.90736e-05	7.72481e-05	-79.71
6.05	4.0361364999999996e-11	4.95913e-05	2.47956e-05	0.00011921	-80.688
6.06	4.0428078e-11	-0.000154496	8.01091e-05	0.000192643	-63.09
6.07	4.0494791e-11	-0.000205995	0.000133515	0.000117302	-167.544
6.08	4.0561503999999996e-11	-0.000175477	6.10356e-05	8.01091e-05	-126.078
6.09	4.0628217e-11	-0.000105858	3.91009e-05	9.91826e-05	-126.552
6.1	4.0694929999999993e-11	-5.14986e-05	-4.95913e-05	0.00011921	-79.992
6.11	4.0761643e-11	4.10082e-05	5.53133e-05	0.00014782	127.098
6.12	4.0828356e-11	5.0545e-05	7.91554e-05	7.05724e-05	-1.788
6.13	4.0895069e-11	-8.48775e-05	0.000156404	0.000143052	50.1
6.14	4.0961781999999995e-11	4.38693e-05	7.82018e-05	0.000166894	-109.668
6.15	4.1028495e-11	-0.000171662	2.57493e-05	0.000114441	-165.69
6.16	4.1095208e-11	-6.2943e-05	5.24523e-05	0.000187875	-20.658
6.17	4.1161921e-11	-3.24252e-05	-0.000180245	0.000226022	-24.876
6.18	4.1228633999999996e-11	-0.000160218	-0.000110627	9.25069e-05	45.774
6.19	4.1295347e-11	-0.000129701	5.81744e-05	9.25069e-05	110.844
6.2	4.136206e-11	-2.9564e-05	-0.000138284	0.00018406	9.768
6.21	4.1428772999999995e-11	-0.000144006	0.000145913	9.53679e-05	-140.406
6.22	4.1495486e-11	-8.48775e-05	-7.82018e-05	0.000157357	76.23
6.23	4.1562199e-11	0.000141145	-6.10356e-05	0.000174523	-22.518
6.24	4.1628912e-11	0.000115395	0.000103951	0.000141145	17.436
6.25	4.1695625e-11	-0.000188828	-6.5804e-05	0.000222207	-135.69
6.26	4.1762338e-11	-0.000182153	-4.48229e-05	8.58312e-05	173.658
6.27	4.1829050999999994e-11	-5.72207e-05	-8.77385e-05	0.000105858	171.834
