Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 50deg, Chopper 230Hz, time constant=0.03, sensitivity=20mV
8.13	5.4237669000000003e-11	-1.14442e-05	5.53133e-05	5.53133e-05	138.69
8.16	5.4437807999999996e-11	-2.86104e-06	-3.81473e-06	3.24252e-05	17.748
8.19	5.4637946999999996e-11	-1.71663e-05	2.6703e-05	2.0981e-05	-47.64
8.22	5.4838086e-11	3.43325e-05	8.58313e-06	8.58312e-05	3.366
8.25	5.5038224999999995e-11	-1.90736e-06	1.90736e-06	1.23978e-05	8.97
8.28	5.5238363999999994e-11	1.90736e-06	4.7684e-06	3.24252e-05	-39.984
8.31	5.5438503e-11	-6.67575e-06	1.90736e-06	3.81473e-06	3.576
8.34	5.5638642e-11	-4.10082e-05	2.86104e-06	2.86104e-06	76.758
8.37	5.583878099999999e-11	-2.28883e-05	-6.10356e-05	8.86922e-05	-151.188
8.4	5.603892e-11	4.57766e-05	-6.67575e-06	4.67303e-05	-66.948
8.43	5.6239059e-11	1.23978e-05	-7.53407e-05	6.48503e-05	-78.114
8.46	5.6439198000000003e-11	-1.23978e-05	1.90736e-06	2.57493e-05	109.092
8.49	5.6639336999999996e-11	-3.33788e-05	1.90736e-06	1.33515e-05	43.854
8.52	5.6839475999999996e-11	-3.71935e-05	1.71663e-05	5.14986e-05	115.158
8.55	5.7039615e-11	8.58313e-06	-2.86104e-06	1.52589e-05	13.782
8.58	5.7239753999999995e-11	-7.43871e-05	6.67575e-06	8.39238e-05	153.828
8.61	5.7439892999999994e-11	-2.6703e-05	-2.3842e-05	1.14442e-05	57.012
8.64	5.7640032e-11	4.38693e-05	1.71663e-05	5.14986e-05	-6.264
8.67	5.7840171e-11	-3.81472e-05	-1.90736e-06	3.91009e-05	-129.036
8.7	5.804030999999999e-11	1.71663e-05	3.43325e-05	2.3842e-05	49.398
8.73	5.8240449e-11	2.86104e-06	6.67577e-05	8.10628e-05	118.074
8.76	5.8440588e-11	1.33515e-05	1.62126e-05	2.19346e-05	22.836
8.79	5.864072699999999e-11	-9.5368e-06	-2.6703e-05	3.52862e-05	-35.91
8.82	5.8840866e-11	1.62126e-05	6.10356e-05	4.19619e-05	19.656
8.85	5.904100499999999e-11	-3.33788e-05	4.67303e-05	4.57766e-05	63.906
8.88	5.924114400000001e-11	2.00273e-05	-6.2943e-05	6.8665e-05	-82.878
8.91	5.9441283e-11	-3.14715e-05	-3.81473e-06	1.71663e-05	-87.396
8.94	5.9641422e-11	-5.81744e-05	8.77385e-05	8.01091e-05	108.726
8.97	5.9841561e-11	-4.19619e-05	-6.00817e-05	7.05724e-05	-77.154
9.0	6.004169999999999e-11	-4.48229e-05	-5.53133e-05	6.19893e-05	-113.01
9.03	6.0241839e-11	4.7684e-06	-1.62126e-05	3.71935e-05	-73.938
9.06	6.0441978e-11	4.19619e-05	-7.34334e-05	7.62944e-05	-71.364
9.09	6.0642117e-11	3.81473e-06	-4.10082e-05	4.38693e-05	-129.426
9.12	6.084225599999999e-11	-9.5368e-06	-4.67303e-05	2.9564e-05	158.628
9.15	6.1042395e-11	3.33788e-05	-5.3406e-05	6.96187e-05	-74.532
9.18	6.124253399999999e-11	-1.81199e-05	-2.3842e-05	1.90736e-05	-66.57
9.21	6.144267300000001e-11	-1.71663e-05	8.58313e-06	4.48229e-05	14.664
9.24	6.1642812e-11	-3.43325e-05	1.04905e-05	3.71935e-05	43.752
9.27	6.1842951e-11	-4.19619e-05	-2.28883e-05	2.00273e-05	-49.572
9.3	6.204309e-11	4.38693e-05	1.52589e-05	1.04905e-05	-154.29
9.33	6.224322899999999e-11	8.86922e-05	3.81472e-05	8.10628e-05	4.716
9.36	6.2443368e-11	5.72208e-06	1.33515e-05	1.62126e-05	-137.202
9.39	6.2643507e-11	1.62126e-05	-1.81199e-05	3.24252e-05	-71.22
9.42	6.2843646e-11	1.33515e-05	1.90736e-05	5.3406e-05	59.172
9.45	6.304378499999999e-11	2.86103e-05	6.67575e-06	4.95913e-05	18.888
9.48	6.3243924e-11	1.04905e-05	3.81473e-06	1.04905e-05	64.44
9.51	6.344406299999999e-11	-4.38693e-05	-2.00273e-05	9.44142e-05	-159.258
9.54	6.3644202e-11	3.05178e-05	-6.67575e-06	5.6267e-05	-47.628
9.57	6.3844341e-11	-9.53682e-07	-9.5368e-06	2.57493e-05	-50.412
9.6	6.404448e-11	1.14442e-05	1.52589e-05	3.43325e-05	124.698
9.63	6.4244619e-11	-2.00273e-05	1.90736e-06	1.90736e-05	-27.18
9.66	6.444475799999999e-11	1.04905e-05	3.91009e-05	4.76839e-05	67.692
9.69	6.4644897e-11	-4.00546e-05	-1.14442e-05	6.00817e-05	-171.096
9.72	6.4845036e-11	-4.48229e-05	-1.71663e-05	5.9128e-05	170.706
9.75	6.5045175e-11	2.86104e-06	-2.28883e-05	1.23978e-05	155.49
9.78	6.524531399999999e-11	4.57766e-05	3.33788e-05	4.48229e-05	139.266
9.81	6.5445453e-11	-7.53407e-05	1.90736e-05	6.77113e-05	160.854
9.84	6.564559199999999e-11	-2.9564e-05	-1.81199e-05	2.86103e-05	-51.522
9.87	6.5845731e-11	-5.72207e-05	-1.71663e-05	9.5368e-06	70.788
9.9	6.604587e-11	6.67575e-06	4.10082e-05	5.24523e-05	28.266
9.93	6.6246009e-11	1.04905e-05	-6.48503e-05	7.05724e-05	-86.286
9.96	6.6446148e-11	-3.43325e-05	1.90736e-05	7.53407e-05	-176.934
9.99	6.664628699999999e-11	3.05178e-05	3.33788e-05	2.3842e-05	0.0
10.02	6.6846426e-11	-3.62399e-05	-1.33515e-05	3.24252e-05	-168.69
10.05	6.7046565e-11	-3.33788e-05	-2.6703e-05	2.57493e-05	27.618
10.08	6.7246704e-11	-3.14715e-05	8.20165e-05	7.82018e-05	121.476
10.11	6.744684299999999e-11	1.33515e-05	4.7684e-06	3.05178e-05	75.582
10.14	6.7646982e-11	2.0981e-05	-6.67575e-06	3.71935e-05	-43.266
10.17	6.7847121e-11	3.81473e-06	-5.72207e-05	6.38966e-05	-52.908
10.2	6.804726e-11	2.76567e-05	8.20165e-05	7.72481e-05	78.15
10.23	6.8247399e-11	1.90736e-05	-1.90736e-06	2.86103e-05	-169.938
10.26	6.8447538e-11	3.81473e-06	5.81744e-05	5.53133e-05	89.256
10.29	6.864767699999999e-11	5.0545e-05	-6.96187e-05	5.3406e-05	-94.638
10.32	6.884781599999999e-11	3.71935e-05	8.58313e-06	8.48775e-05	22.38
10.35	6.9047955e-11	-4.48229e-05	7.24797e-05	6.5804e-05	89.346
10.38	6.9248094e-11	-6.67575e-06	-3.52862e-05	2.28883e-05	170.076
10.41	6.9448233e-11	6.67575e-06	2.47956e-05	2.86103e-05	-30.966
10.44	6.964837199999999e-11	1.90736e-05	2.86104e-06	3.05178e-05	-152.616
10.47	6.9848511e-11	-5.43597e-05	4.57766e-05	6.10356e-05	121.608
10.5	7.004865e-11	6.67575e-06	-1.04905e-05	5.72208e-06	29.358
10.53	7.0248789e-11	1.23978e-05	-9.5368e-06	2.3842e-05	-65.724
10.56	7.0448928e-11	-6.2943e-05	-3.05178e-05	2.57493e-05	124.878
10.59	7.0649067e-11	-9.82289e-05	-6.67575e-06	8.10628e-05	-174.288
10.62	7.084920599999999e-11	-1.14442e-05	2.00273e-05	2.19346e-05	116.13
10.65	7.104934499999999e-11	-6.19893e-05	3.81473e-06	6.2943e-05	140.526
10.68	7.1249484e-11	-4.95913e-05	-3.62399e-05	1.52589e-05	96.708
10.71	7.1449623e-11	-6.8665e-05	5.0545e-05	7.82018e-05	174.954
10.74	7.1649762e-11	-1.43052e-05	-6.67575e-06	1.71663e-05	-100.008
10.77	7.184990099999999e-11	4.38693e-05	0.0	5.9128e-05	-41.07
10.8	7.205004e-11	-6.67577e-05	3.81473e-06	7.43871e-05	-139.506
