Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3 24dB, sync<200Hz, sensitivity=20mV
6.0	4.00278e-11	0.0	-1.71663e-05	1.62126e-05	-96.582
6.01	4.0094512999999995e-11	-5.72208e-06	-2.6703e-05	2.6703e-05	-102.996
6.02	4.0161226e-11	-2.00273e-05	-1.81199e-05	2.76567e-05	-138.69
6.03	4.0227939e-11	-1.52589e-05	-4.29156e-05	4.48229e-05	-110.058
6.04	4.0294652e-11	-9.5368e-06	-2.47956e-05	2.47956e-05	-108.924
6.05	4.0361364999999996e-11	-6.67575e-06	-2.3842e-05	2.3842e-05	-98.13
6.06	4.0428078e-11	-6.67575e-06	-2.9564e-05	2.86103e-05	-103.392
6.07	4.0494791e-11	-1.33515e-05	-7.62945e-06	1.52589e-05	-156.798
6.08	4.0561503999999996e-11	-2.3842e-05	-2.9564e-05	3.62399e-05	-128.334
6.09	4.0628217e-11	-2.6703e-05	-1.14442e-05	2.9564e-05	-158.43
6.1	4.0694929999999993e-11	-2.57493e-05	-2.28883e-05	3.43325e-05	-138.096
6.11	4.0761643e-11	-2.28883e-05	2.19346e-05	3.05178e-05	134.118
6.12	4.0828356e-11	-4.48229e-05	-9.5368e-06	4.67303e-05	-169.764
6.13	4.0895069e-11	-3.33788e-05	4.7684e-06	3.33788e-05	172.182
6.14	4.0961781999999995e-11	-1.90736e-06	-1.33515e-05	1.33515e-05	-87.276
6.15	4.1028495e-11	-2.28883e-05	-2.00273e-05	2.9564e-05	-140.526
6.16	4.1095208e-11	-2.47956e-05	-2.00273e-05	3.14715e-05	-140.79
6.17	4.1161921e-11	-7.62945e-06	-2.47956e-05	2.3842e-05	-105.948
6.18	4.1228633999999996e-11	-3.81473e-06	-1.81199e-05	1.71663e-05	-93.942
6.19	4.1295347e-11	-2.9564e-05	-2.0981e-05	3.71935e-05	-148.86
6.2	4.136206e-11	-4.29156e-05	-2.19346e-05	4.86376e-05	-154.842
6.21	4.1428772999999995e-11	-2.28883e-05	0.0	2.00273e-05	180.0
6.22	4.1495486e-11	-1.62126e-05	0.0	1.71663e-05	177.882
6.23	4.1562199e-11	-1.23978e-05	-9.5368e-06	1.62126e-05	-144.462
6.24	4.1628912e-11	-4.48229e-05	-8.58313e-06	4.19619e-05	-168.87
6.25	4.1695625e-11	-4.00546e-05	-1.62126e-05	4.48229e-05	-160.512
6.26	4.1762338e-11	-3.62399e-05	-2.3842e-05	3.91009e-05	-146.04
6.27	4.1829050999999994e-11	-1.62126e-05	-9.5368e-06	1.62126e-05	-153.438
6.28	4.1895764e-11	-3.24252e-05	-3.24252e-05	4.57766e-05	-136.734
6.29	4.1962477e-11	-3.14715e-05	-4.00546e-05	5.0545e-05	-127.614
6.3	4.2029189999999994e-11	-3.05178e-05	-3.05178e-05	4.10082e-05	-133.698
6.31	4.2095902999999996e-11	-2.9564e-05	-2.76567e-05	3.91009e-05	-137.07
6.32	4.2162616e-11	-4.29156e-05	-1.71663e-05	4.38693e-05	-159.648
6.33	4.2229329e-11	-4.29156e-05	-1.62126e-05	4.29156e-05	-156.318
6.34	4.2296041999999995e-11	-3.71935e-05	-3.33788e-05	4.76839e-05	-138.432
6.35	4.2362755e-11	-3.81472e-05	2.86104e-06	3.71935e-05	174.984
6.36	4.2429468e-11	-2.9564e-05	-2.76567e-05	3.81472e-05	-134.292
6.37	4.2496181e-11	-4.19619e-05	-2.9564e-05	5.0545e-05	-146.106
6.38	4.2562893999999996e-11	-1.04905e-05	-2.47956e-05	2.57493e-05	-113.964
6.39	4.2629607e-11	-7.62945e-06	-7.62945e-06	1.04905e-05	-141.84
6.4	4.269632e-11	-4.95913e-05	-4.19619e-05	6.2943e-05	-140.118
6.41	4.2763032999999996e-11	-5.3406e-05	-2.0981e-05	5.6267e-05	-157.068
6.42	4.2829746e-11	-3.91009e-05	-3.05178e-05	4.86376e-05	-143.748
6.43	4.2896458999999993e-11	-4.38693e-05	-4.10082e-05	5.9128e-05	-137.292
6.44	4.2963172e-11	-2.9564e-05	-9.5368e-06	2.9564e-05	-161.964
6.45	4.3029885e-11	-6.2943e-05	-2.00273e-05	6.48503e-05	-162.3
6.46	4.3096598e-11	-3.81472e-05	-5.72207e-05	6.5804e-05	-122.25
6.47	4.3163310999999995e-11	-3.43325e-05	-6.67577e-05	7.53407e-05	-119.496
6.48	4.3230024e-11	-1.33515e-05	-1.23978e-05	1.71663e-05	-141.006
6.49	4.3296737e-11	-3.62399e-05	-3.43325e-05	4.95913e-05	-136.608
6.5	4.336345e-11	-5.3406e-05	-4.00546e-05	6.48503e-05	-142.896
6.51	4.3430162999999996e-11	-2.47956e-05	-3.05178e-05	3.71935e-05	-129.936
6.52	4.3496876e-11	-4.48229e-05	-5.53133e-05	7.05724e-05	-130.08
6.53	4.3563589e-11	-4.48229e-05	-3.62399e-05	5.6267e-05	-143.13
6.54	4.3630301999999995e-11	-3.71935e-05	-4.67303e-05	5.81744e-05	-125.688
6.55	4.3697015e-11	-3.81472e-05	-2.57493e-05	4.57766e-05	-147.216
