Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 0deg, Chopper 230Hz, time constant=0.03, sensitivity=10mV
6.0	4.00278e-11	-3.67167e-05	1.52589e-05	2.57493e-05	-145.716
6.03	4.0227939e-11	4.29156e-06	-2.14578e-05	3.38557e-05	-70.2
6.06	4.0428078e-11	-3.33788e-05	1.1921e-05	2.9564e-05	154.356
6.09	4.0628217e-11	3.8624e-05	-4.00546e-05	3.19483e-05	-128.118
6.12	4.0828356e-11	2.19346e-05	3.09946e-05	4.52998e-05	103.35
6.15	4.1028495e-11	9.5368e-06	-6.67577e-05	4.52998e-05	-52.452
6.18	4.1228633999999996e-11	6.67575e-06	3.81473e-06	3.09946e-05	-11.388
6.21	4.1428772999999995e-11	3.09946e-05	-1.00136e-05	2.43188e-05	-104.472
6.24	4.1628912e-11	-4.33924e-05	-3.00409e-05	4.05314e-05	-137.526
6.27	4.1829050999999994e-11	-8.10629e-06	-1.57357e-05	3.48093e-05	-149.742
6.3	4.2029189999999994e-11	1.90736e-06	-2.00273e-05	2.57493e-05	-96.402
6.33	4.2229329e-11	-6.67575e-06	3.81473e-06	1.38283e-05	-175.914
6.36	4.2429468e-11	-2.3842e-05	-8.10629e-06	1.57357e-05	-175.602
6.39	4.2629607e-11	-1.66894e-05	4.76839e-05	7.00955e-05	127.182
6.42	4.2829746e-11	-2.6703e-05	2.62262e-05	7.62945e-06	-117.216
6.45	4.3029885e-11	-1.57357e-05	-2.90872e-05	3.38557e-05	-109.314
6.48	4.3230024e-11	-1.14442e-05	-2.57493e-05	1.52589e-05	-124.638
6.51	4.3430162999999996e-11	-2.3842e-06	-1.81199e-05	4.10082e-05	-70.89
6.54	4.3630301999999995e-11	2.86104e-06	-5.86512e-05	5.38828e-05	-69.342
6.57	4.3830441e-11	1.04905e-05	-4.10082e-05	4.67303e-05	-12.96
6.6	4.4030579999999994e-11	4.19619e-05	-2.90872e-05	3.5763e-05	-106.698
6.63	4.4230719e-11	5.72207e-05	-2.62262e-05	5.10218e-05	-80.538
6.66	4.4430858e-11	3.38557e-05	-2.0981e-05	4.14851e-05	17.418
6.69	4.4630997e-11	1.81199e-05	-6.8665e-05	8.67848e-05	-49.326
6.72	4.4831136e-11	1.76431e-05	-3.33787e-06	1.28747e-05	-47.724
6.75	4.5031275e-11	-6.24661e-05	5.00681e-05	6.15125e-05	130.536
6.78	4.5231414e-11	-2.6703e-05	-2.14578e-05	6.81882e-05	-163.218
6.81	4.5431552999999997e-11	-8.96459e-05	2.52725e-05	9.63216e-05	-167.664
6.84	4.5631691999999996e-11	-3.19483e-05	-2.24115e-05	4.00546e-05	-174.534
6.87	4.5831830999999996e-11	-4.48229e-05	-1.66894e-05	4.10082e-05	167.136
6.9	4.603197e-11	-5.72208e-06	3.09946e-05	5.29292e-05	152.1
6.93	4.6232108999999994e-11	3.2902e-05	-1.57357e-05	2.19346e-05	-146.31
6.96	4.6432248e-11	4.86376e-05	9.5368e-06	2.76567e-05	28.368
6.99	4.6632387e-11	4.52998e-05	1.85968e-05	5.96049e-05	2.628
