Position (mm) 	 Delay (ps) 	 X (V) 	 Y (V) 	 R (V) 	 theta (°)
11.1545	7.4400515e-11	0.00271036	-0.00707629	0.00740626	-81.312
11.1575	7.4420525e-11	-0.00724795	-0.000450136	0.00726321	174.9
11.1605	7.4440535e-11	0.00156976	0.00710681	0.00737384	66.018
11.1635	7.4460545e-11	0.00640681	-0.00405505	0.00733188	-42.636
11.1665	7.448055499999999e-11	-0.00569347	-0.00443843	0.00732806	-151.662
11.1695	7.4500565e-11	-0.00270845	0.00692943	0.00728801	100.032
11.1725	7.4520575e-11	0.00743297	-4.76839e-05	0.00739101	-9.144
11.176	7.454392e-11	-0.00185586	-0.00684741	0.00721362	-118.02
11.179	7.456392999999999e-11	-0.00591663	0.00444606	0.00717929	135.51
11.182	7.458394e-11	0.00616458	0.00350191	0.00728801	20.31
11.185	7.460395e-11	0.00182915	-0.00717166	0.00725558	-89.316
11.188	7.462396e-11	-0.00725558	0.000844959	0.0073128	164.628
11.191	7.464397e-11	0.00249101	0.00665668	0.0071812	58.638
11.194	7.466398e-11	0.00591281	-0.00465396	0.00731471	-48.198
11.197	7.468398999999998e-11	-0.0060387	-0.00362588	0.00724986	-159.402
11.2	7.470399999999999e-11	-0.00135804	0.00728419	0.00733379	89.562
