Position (mm) 	 Delay (ps) 	 X (V) 	 Y (V) 	 R (V) 	 theta (°)
10.9	7.2703e-11	-0.000335695	-0.00897986	0.00900465	-104.04
10.903	7.272301e-11	-0.00840765	0.00400737	0.00909621	145.398
10.906	7.274302e-11	0.00613025	0.00622752	0.00907713	34.008
10.909	7.276303000000001e-11	0.00435451	-0.00815779	0.00908095	-70.716
10.912	7.278304e-11	-0.00884062	-0.00172807	0.00913626	-175.584
10.915	7.280304999999999e-11	0.000595096	0.00909621	0.00917631	73.464
10.918	7.282306e-11	0.00833136	-0.00409892	0.00905615	-35.934
10.921	7.284306999999999e-11	-0.00597194	-0.00622371	0.009018	-142.392
10.924	7.286307999999999e-11	-0.0048447	0.00793654	0.00915343	110.814
10.9275	7.2886425e-11	0.00867468	0.0019951	0.00895888	3.81
10.9305	7.2906435e-11	-0.000169755	-0.00863653	0.0086537	-103.284
10.9335	7.2926445e-11	-0.00815779	0.00351526	0.00867659	149.58
10.9365	7.2946455e-11	0.0053139	0.00681308	0.00893027	42.894
10.9395	7.2966465e-11	0.00504306	-0.0078049	0.00911146	-68.034
10.9425	7.2986475e-11	-0.00875479	-0.00176812	0.00902945	-177.432
10.9455	7.3006485e-11	0.000862125	0.00889212	0.00899321	71.976
10.9485	7.302649499999999e-11	0.0045338	-0.00789648	0.00889212	-71.208
10.9515	7.304650499999999e-11	-0.00877768	-0.000949863	0.00888449	177.222
10.9545	7.3066515e-11	0.0017624	0.00867659	0.00901991	66.162
10.9575	7.3086525e-11	0.00773242	-0.00500301	0.0089379	-42.972
10.9605	7.310653499999999e-11	-0.00666049	-0.00538829	0.00887305	-149.748
10.9635	7.3126545e-11	-0.00361826	0.00809866	0.00872618	102.51
10.9665	7.3146555e-11	0.00868803	0.00067902	0.00877959	-4.254
10.9695	7.316656499999999e-11	-0.00198175	-0.00834852	0.00872618	-116.262
10.9725	7.3186575e-11	-0.00720027	0.00514415	0.00867087	134.772
10.976	7.320992e-11	0.0069218	0.0048714	0.00874716	25.734
10.979	7.322992999999999e-11	0.00299455	-0.00848204	0.00881964	-82.962
10.982	7.324994e-11	-0.00878721	0.000562672	0.00881582	167.448
10.985	7.326994999999999e-11	0.00313951	0.00802809	0.00874716	57.978
10.988	7.328995999999999e-11	0.00706103	-0.00524905	0.00859076	-46.626
10.991	7.330997e-11	-0.00855643	0.000421526	0.00857931	168.192
10.994	7.332998e-11	0.00318338	0.00765803	0.00849158	56.19
10.997	7.334998999999999e-11	0.0064564	-0.0061951	0.00865179	-54.552
11.0	7.337e-11	-0.00838858	0.00167657	0.00846297	161.868
11.003	7.339001e-11	0.00349618	0.00747684	0.00847059	52.77
11.006	7.341002e-11	0.00606158	-0.00646976	0.00856787	-58.086
11.009	7.343003e-11	-0.00779346	-0.00310327	0.00855833	-167.826
11.012	7.345004e-11	-0.000892643	0.00859076	0.00858885	83.034
11.015	7.347005e-11	0.00838476	-0.00255777	0.0085755	-26.022
11.018	7.349006e-11	-0.00451282	-0.00683406	0.00850874	-136.104
11.021	7.351007e-11	-0.00521281	0.0071049	0.00852782	115.08
11.024	7.353007999999999e-11	0.00804526	0.00218202	0.0084725	7.884
