Position (mm) 	 Delay (ps) 	 X (V) 	 Y (V) 	 R (V) 	 theta (°)
10.9	7.2703e-11	-0.0256959	0.0351565	0.0436099	126.3
10.903	7.272301e-11	-0.0284692	0.0333865	0.0439684	130.584
10.906	7.274302e-11	-0.0310708	0.0311586	0.0440295	134.988
10.909	7.276303000000001e-11	-0.0325243	0.0296365	0.0439913	137.742
10.912	7.278304e-11	-0.0343935	0.0273935	0.0438082	141.492
10.915	7.280304999999999e-11	-0.0357096	0.0251161	0.0436327	145.374
10.918	7.282306e-11	-0.0350802	0.0226098	0.0414393	147.246
10.921	7.284306999999999e-11	-0.0368426	0.0197145	0.0417597	151.878
10.924	7.286307999999999e-11	-0.0358584	0.0178491	0.0402071	154.014
10.9275	7.2886425e-11	-0.0359232	0.0154915	0.0390055	157.212
10.9305	7.2906435e-11	-0.0371249	0.0128022	0.0393717	161.13
10.9335	7.2926445e-11	-0.0373957	0.0108719	0.0389903	164.214
10.9365	7.2946455e-11	-0.0391734	0.00813299	0.0398829	168.666
10.9395	7.2966465e-11	-0.0401003	0.00485614	0.0402644	173.1
10.9425	7.2986475e-11	-0.039448	0.00307085	0.039963	175.986
10.9455	7.3006485e-11	-0.0400622	0.000392916	0.0401919	-179.94
10.9485	7.302649499999999e-11	-0.0394213	-0.00298692	0.0393031	-174.978
10.9515	7.304650499999999e-11	-0.0389674	-0.00522235	0.0395358	-172.194
10.9545	7.3066515e-11	-0.0382426	-0.00728992	0.0391543	-168.894
10.9575	7.3086525e-11	-0.0377123	-0.00971991	0.0387919	-165.672
10.9605	7.310653499999999e-11	-0.0372088	-0.0124589	0.0391848	-161.304
10.9635	7.3126545e-11	-0.0360644	-0.0143548	0.0386317	-158.226
10.9665	7.3146555e-11	-0.0352671	-0.0163308	0.039017	-154.902
10.9695	7.316656499999999e-11	-0.0340617	-0.0191575	0.0391543	-150.048
10.9725	7.3186575e-11	-0.0331995	-0.0204583	0.0388339	-148.26
10.976	7.320992e-11	-0.0316393	-0.022503	0.0389025	-144.702
10.979	7.322992999999999e-11	-0.0302125	-0.0246049	0.039078	-140.718
10.982	7.324994e-11	-0.0285074	-0.0259362	0.0383685	-137.124
10.985	7.326994999999999e-11	-0.0269891	-0.028042	0.0387347	-133.482
10.988	7.328995999999999e-11	-0.0242692	-0.030018	0.0385096	-128.904
10.991	7.330997e-11	-0.0223733	-0.0310212	0.0383952	-125.568
10.994	7.332998e-11	-0.0213853	-0.0361712	0.042248	-120.798
10.997	7.334998999999999e-11	-0.0188447	-0.0366671	0.0412371	-116.844
11.0	7.337e-11	-0.0169259	-0.0374072	0.0410464	-114.462
11.003	7.339001e-11	-0.0143395	-0.0383074	0.0408862	-110.184
11.006	7.341002e-11	-0.0121766	-0.0387881	0.040684	-106.986
11.009	7.343003e-11	-0.00993353	-0.0394671	0.0407183	-103.986
11.012	7.345004e-11	-0.00766376	-0.040169	0.0408518	-100.47
11.015	7.347005e-11	-0.00540546	-0.0406764	0.0410082	-96.876
11.018	7.349006e-11	-0.00306322	-0.0403712	0.0405352	-94.044
11.021	7.351007e-11	-0.000247957	-0.0409815	0.0409434	-90.168
11.024	7.353007999999999e-11	0.00223924	-0.040581	0.0405619	-86.652
11.0275	7.3553425e-11	0.00569919	-0.040108	0.0404894	-81.69
11.0305	7.3573435e-11	0.00807577	-0.0396388	0.0405886	-77.916
11.0335	7.359344499999999e-11	0.010254	-0.0393412	0.0407679	-74.754
11.0365	7.3613455e-11	0.0132065	-0.0394404	0.0415194	-71.406
11.0395	7.3633465e-11	0.0153008	-0.0378115	0.0407183	-67.47
11.0425	7.3653475e-11	0.0177385	-0.0363657	0.0405085	-63.282
11.0455	7.3673485e-11	0.0195924	-0.0351031	0.0402415	-60.474
11.0485	7.3693495e-11	0.0216676	-0.0340579	0.040169	-56.772
11.0515	7.3713505e-11	0.0232431	-0.0316088	0.0389483	-53.682
11.0545	7.373351500000001e-11	0.0240899	-0.029667	0.0381854	-50.628
11.0575	7.375352499999999e-11	0.0263788	-0.0282136	0.0386279	-46.524
11.0605	7.377353499999999e-11	0.0284387	-0.0263864	0.0389521	-42.438
11.0635	7.3793545e-11	0.0301782	-0.0238992	0.0385134	-38.334
11.0665	7.381355499999999e-11	0.0317767	-0.0221368	0.0387614	-34.662
11.0695	7.383356499999999e-11	0.0337565	-0.0189592	0.0388377	-28.944
11.0725	7.3853575e-11	0.0368617	-0.01606	0.0401003	-23.088
11.076	7.387692e-11	0.0384142	-0.0133362	0.0407298	-18.96
11.079	7.389693e-11	0.0396044	-0.0102616	0.0410197	-14.562
11.082	7.391694e-11	0.0412447	-0.00689319	0.0418131	-9.354
11.085	7.393695e-11	0.0418131	-0.00405505	0.0420725	-5.154
11.088	7.395695999999999e-11	0.0422518	-0.000728611	0.0420763	-0.714
11.091	7.397697e-11	0.042618	0.00253297	0.0424998	3.822
11.094	7.399697999999999e-11	0.0426981	0.00633624	0.0432513	8.67
11.097	7.401698999999999e-11	0.0421717	0.0103646	0.0433314	13.968
11.1	7.4037e-11	0.0415843	0.0146943	0.0442584	19.818
11.103	7.405701e-11	0.0404551	0.0181047	0.0441668	24.162
11.106	7.407701999999999e-11	0.0393717	0.0209161	0.0444796	28.284
11.109	7.409703e-11	0.0372126	0.0232583	0.0437586	32.37
11.112	7.411704e-11	0.0357859	0.0266916	0.0446932	36.816
11.115	7.413704999999999e-11	0.0342829	0.029709	0.0452311	41.076
