X 	 Y 	 R 	 theta 
#With Preamplifier, Finding B, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.3s 18dB, waiting time= 1s, sensitivity=20mV, position 8.0mm
-0.000320436	0.0281335	0.0281335	90.636
-0.000308992	0.0280954	0.0280954	90.624
-0.000320436	0.0281183	0.0281221	90.636
-0.000320436	0.0280877	0.0280954	90.648
-0.000377657	0.0282365	0.0282441	90.774
-0.000415804	0.0282632	0.028267	90.84
-0.000366213	0.0282594	0.0282632	90.732
-0.000370027	0.0282289	0.0282327	90.762
-0.000328066	0.0280954	0.0280954	90.642
-0.000255587	0.0280153	0.0280153	90.522
-0.000282289	0.0281106	0.0281068	90.57
-0.000320436	0.0281068	0.0281106	90.654
-0.00020218	0.0279733	0.0279695	90.402
-0.000244142	0.0280343	0.0280343	90.492
-0.000267031	0.0281221	0.0281221	90.534
-0.000289919	0.0280839	0.0280801	90.588
-0.000232697	0.0280114	0.0280153	90.474
-0.000278475	0.0280992	0.0280992	90.564
-0.000236512	0.0279847	0.0279809	90.474
-0.000267031	0.0279962	0.028	90.546
-0.000267031	0.0280114	0.0280114	90.546
-0.000240327	0.0278932	0.0278932	90.492
-0.000225068	0.0278703	0.0278703	90.456
-0.00019455	0.0278169	0.0278131	90.384
-0.000110627	0.027752	0.027752	90.24
-7.62944e-05	0.0277025	0.0276986	90.138
-0.00013733	0.0278131	0.0278131	90.294
-9.53679e-05	0.027752	0.027752	90.18
-0.000152589	0.0278283	0.0278283	90.306
-0.00020218	0.0278894	0.0278894	90.408
-0.000160218	0.0278589	0.0278589	90.33
-0.000186921	0.0278474	0.0278474	90.378
-0.000156404	0.0278856	0.0278856	90.312
-0.000286104	0.0280496	0.0280458	90.582
-0.000247957	0.0279962	0.0279962	90.504
-0.000308992	0.0280954	0.0280954	90.618
-0.000305178	0.0280877	0.0280954	90.63
-0.00033951	0.0282174	0.0282212	90.678
-0.000366213	0.0281945	0.0281945	90.732
-0.000236512	0.028	0.0279962	90.468
-0.000270845	0.0281411	0.0281411	90.558
-0.000320436	0.0281183	0.0281221	90.66
-0.000335695	0.028042	0.028042	90.684
-0.000343325	0.0281373	0.028145	90.702
-0.000335695	0.0281678	0.0281717	90.684
-0.000282289	0.0280343	0.0280343	90.582
-0.00033951	0.0280915	0.0280915	90.678
-0.000305178	0.0281183	0.0281221	90.63
-0.000289919	0.0280915	0.0280877	90.576
-0.000316622	0.0280496	0.0280572	90.648
-0.000354769	0.0281068	0.0281068	90.714
-0.000312807	0.0280267	0.0280267	90.618
-0.000251772	0.0279657	0.0279657	90.516
-0.000228883	0.0279733	0.0279733	90.45
-0.000152589	0.027897	0.0279008	90.324
-0.000301363	0.0280343	0.0280381	90.63
-0.000236512	0.0279542	0.0279542	90.468
-0.000251772	0.0280191	0.0280191	90.504
-0.00027466	0.0281411	0.0281488	90.576
-0.000373842	0.0282594	0.0282632	90.768
-0.000343325	0.0281411	0.028145	90.69
-0.000297548	0.0280153	0.0280114	90.582
-0.000213624	0.0279351	0.027939	90.438
-0.000328066	0.028145	0.0281488	90.66
-0.000286104	0.0281411	0.0281411	90.582
-0.000270845	0.0280534	0.0280496	90.546
-0.000282289	0.0281259	0.0281221	90.564
-0.000324251	0.0281526	0.0281526	90.642
-0.000171662	0.0278817	0.0278741	90.33
-0.000102997	0.0277368	0.0277406	90.216
-0.000205995	0.0278932	0.027897	90.426
-0.000278475	0.0280191	0.0280191	90.564
-0.000232697	0.027939	0.027939	90.48
-0.000350954	0.0281907	0.0281984	90.714
-0.000278475	0.0280534	0.0280534	90.558
-0.000297548	0.0281068	0.0281068	90.606
-0.000293734	0.0280648	0.0280572	90.594
-0.000244142	0.0279771	0.0279809	90.504
-0.000343325	0.0281831	0.0281869	90.696
-0.000347139	0.0281755	0.0281831	90.696
-0.000457766	0.0283662	0.02837	90.936
-0.000389101	0.0281678	0.0281678	90.768
-0.000316622	0.028145	0.0281488	90.63
-0.000324251	0.0281526	0.0281564	90.672
-0.000305178	0.0281221	0.0281221	90.624
-0.000350954	0.0281602	0.0281678	90.72
-0.000331881	0.0281564	0.0281564	90.66
-0.000255587	0.0281221	0.0281221	90.522
-0.000259401	0.0280839	0.0280801	90.516
-0.000221253	0.0279809	0.0279771	90.45
-0.000164033	0.0278398	0.0278322	90.306
-7.62944e-05	0.0276986	0.0277063	90.15
-0.000164033	0.0278741	0.0278779	90.342
-0.000213624	0.0280153	0.0280153	90.45
-0.000244142	0.0279962	0.0279924	90.492
-0.00019455	0.0279123	0.0279123	90.402
-0.000190736	0.0279199	0.0279237	90.39
-0.000209809	0.0279847	0.0279847	90.414
-0.000217439	0.0280153	0.0280153	90.438
-0.000114441	0.0277864	0.0277826	90.234
