X 	 Y 	 R 	 theta 
#With Preamplifier, Finding A, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.3s 18dB, waiting time= 1s, sensitivity=20mV, position 8.0mm
-0.000263216	0.0280114	0.0280153	90.546
-0.000247957	0.027939	0.027939	90.504
-0.000198365	0.027939	0.027939	90.402
-0.00019455	0.0280038	0.0280038	90.39
-0.000160218	0.0279008	0.027897	90.33
-0.000251772	0.0280801	0.0280839	90.516
-0.000324251	0.0281488	0.0281488	90.66
-0.000190736	0.0278589	0.0278589	90.372
-0.000225068	0.0279771	0.0279771	90.462
-0.000118256	0.0277826	0.0277787	90.222
-8.01091e-05	0.0276757	0.0276757	90.174
-0.000106812	0.0276948	0.0276948	90.216
-0.00027466	0.0280267	0.0280343	90.582
-0.000270845	0.0280229	0.0280267	90.558
-0.000286104	0.0280763	0.0280763	90.564
-0.000221253	0.0280343	0.0280343	90.45
-0.000114441	0.0277253	0.0277253	90.24
-0.000236512	0.0279657	0.0279695	90.486
-0.00020218	0.0279237	0.0279275	90.408
-0.000213624	0.0279847	0.0279886	90.438
-0.000293734	0.0281259	0.0281259	90.594
-0.000316622	0.0281907	0.0281945	90.642
-0.000331881	0.028145	0.028145	90.672
-0.000293734	0.0280954	0.0280915	90.588
-0.000267031	0.0280877	0.0280877	90.546
-0.000228883	0.0279962	0.0279924	90.462
-0.000232697	0.027958	0.027958	90.468
-0.000156404	0.0278779	0.0278779	90.312
-0.000247957	0.0280648	0.0280687	90.516
-0.000259401	0.0280191	0.0280191	90.516
-0.00020218	0.0279161	0.0279123	90.408
-0.000251772	0.0280267	0.0280267	90.516
-0.000247957	0.0279924	0.0279886	90.504
-0.000221253	0.0279924	0.0279924	90.444
-0.000217439	0.0279657	0.0279657	90.45
-0.000320436	0.028145	0.0281488	90.666
-0.000320436	0.0281488	0.0281564	90.66
-0.000297548	0.0281602	0.0281602	90.6
-0.000267031	0.0281144	0.0281144	90.534
-0.000293734	0.0281297	0.0281335	90.6
-0.000370027	0.0282327	0.0282403	90.75
-0.00033951	0.0282022	0.0282022	90.678
-0.000213624	0.0280572	0.0280572	90.414
-0.000240327	0.0280458	0.0280496	90.51
-0.000255587	0.028042	0.028042	90.504
-0.000209809	0.0280153	0.0280153	90.426
-0.000270845	0.0280191	0.0280191	90.546
-0.00019455	0.027939	0.027939	90.396
-0.000282289	0.0280954	0.0280992	90.582
-0.00033951	0.0281373	0.028145	90.69
-0.000366213	0.0282785	0.0282823	90.744
-0.000335695	0.0282632	0.028267	90.678
-0.000164033	0.0280153	0.0280153	90.336
-0.000297548	0.0282136	0.0282174	90.618
-0.000324251	0.0281678	0.0281717	90.66
-0.000427248	0.0283395	0.0283433	90.87
-0.000511173	0.0284311	0.0284349	91.026
-0.000553135	0.0284349	0.0284387	91.116
-0.000465395	0.0283052	0.0283052	90.93
-0.000362398	0.0281373	0.0281373	90.726
-0.000236512	0.0279886	0.0279924	90.474
-0.000282289	0.028042	0.028042	90.582
-0.000278475	0.0280153	0.0280191	90.594
-0.000431063	0.0282556	0.0282594	90.864
-0.000343325	0.0281717	0.0281717	90.69
-0.000343325	0.0281945	0.0282022	90.702
-0.000217439	0.0280954	0.0280915	90.426
-0.000156404	0.0279771	0.0279733	90.306
-3.43325e-05	0.0278817	0.0278817	90.078
-4.19619e-05	0.0277673	0.0277673	90.078
-0.000118256	0.0277902	0.027794	90.252
-0.000160218	0.0279313	0.0279313	90.324
-0.000186921	0.0279657	0.0279657	90.384
-0.000125886	0.0278589	0.0278589	90.252
-0.000205995	0.0279733	0.0279733	90.42
-0.000240327	0.0279695	0.0279695	90.492
-0.000209809	0.0279924	0.0279886	90.408
-0.000236512	0.0280153	0.0280153	90.474
-0.000217439	0.0279466	0.0279428	90.438
-0.000183106	0.0278817	0.0278856	90.378
-0.000286104	0.0280648	0.0280687	90.594
-0.000331881	0.0281335	0.0281373	90.66
-0.000247957	0.0279619	0.0279619	90.498
-0.000259401	0.027958	0.0279542	90.528
-0.000175477	0.0278512	0.0278474	90.354
-0.000179292	0.0278856	0.0278932	90.384
-0.000240327	0.0279619	0.0279619	90.48
-0.000251772	0.0279962	0.0279962	90.504
-0.000209809	0.0279924	0.0279886	90.432
-0.000240327	0.028042	0.028042	90.48
-0.000160218	0.0278398	0.0278398	90.33
-0.000213624	0.0279504	0.0279542	90.432
-0.000186921	0.0278512	0.0278474	90.384
-0.000240327	0.0279847	0.0279886	90.492
-0.000255587	0.0280572	0.0280572	90.516
-0.000278475	0.0280877	0.0280839	90.558
-0.000240327	0.0279619	0.0279619	90.492
-0.000236512	0.0279161	0.0279123	90.462
-0.000217439	0.0279123	0.0279084	90.444
-0.000167848	0.0278207	0.0278207	90.336
